,Unnamed: 0,review_id,restaurant_id,page_index,title,date,author_name,author_location,text,rating,city,restaurant_name,language_code,text_noanonymization,sentence_idx,id,detected_language
0,0,921348897,2005104,0,Bayrisches Bier mitten in Berlin,2023-10-15,wolfganga300,Erlangen,"Bayrisches Bier mitten in LOC.Das kann man im LOC genießen, dazu bayerisches Essen und dazu die berühmte Curry Wurst.",5.0,berlin,Augustiner am Gendarmenmarkt,de,"Bayrisches Bier mitten in Berlin.Das kann man im Augustiner Hof genießen, dazu bayerisches Essen und dazu die berühmte Curry Wurst. Das Lokal ist immer voll, eine Reservierung ist zwingend. Innen ist es gemütlich aber auch laut. Ein Teil des Personals versucht sich südbayerisch zu kleiden.",0,7a80890b-f6b2-4e31-9e3c-c0260c071f06,de
1,0,921348897,2005104,0,Bayrisches Bier mitten in Berlin,2023-10-15,wolfganga300,Erlangen,"Das Lokal ist immer voll, eine Reservierung ist zwingend.",5.0,berlin,Augustiner am Gendarmenmarkt,de,"Bayrisches Bier mitten in Berlin.Das kann man im Augustiner Hof genießen, dazu bayerisches Essen und dazu die berühmte Curry Wurst. Das Lokal ist immer voll, eine Reservierung ist zwingend. Innen ist es gemütlich aber auch laut. Ein Teil des Personals versucht sich südbayerisch zu kleiden.",1,27c414cf-d356-4fbd-bac0-708b5951474f,de
2,0,921348897,2005104,0,Bayrisches Bier mitten in Berlin,2023-10-15,wolfganga300,Erlangen,Innen ist es gemütlich aber auch laut.,5.0,berlin,Augustiner am Gendarmenmarkt,de,"Bayrisches Bier mitten in Berlin.Das kann man im Augustiner Hof genießen, dazu bayerisches Essen und dazu die berühmte Curry Wurst. Das Lokal ist immer voll, eine Reservierung ist zwingend. Innen ist es gemütlich aber auch laut. Ein Teil des Personals versucht sich südbayerisch zu kleiden.",2,5e0a4404-e9aa-45f6-b57c-fbd4c7f3988e,de
3,0,921348897,2005104,0,Bayrisches Bier mitten in Berlin,2023-10-15,wolfganga300,Erlangen,Ein Teil des Personals versucht sich südbayerisch zu kleiden.,5.0,berlin,Augustiner am Gendarmenmarkt,de,"Bayrisches Bier mitten in Berlin.Das kann man im Augustiner Hof genießen, dazu bayerisches Essen und dazu die berühmte Curry Wurst. Das Lokal ist immer voll, eine Reservierung ist zwingend. Innen ist es gemütlich aber auch laut. Ein Teil des Personals versucht sich südbayerisch zu kleiden.",3,f7df217a-5847-418c-baf4-888f0f5f7a7b,de
4,1,921129385,2005104,0,Denn Sie wissen nicht was Sie tun!!!,2023-10-13,Maximilian-62,"Freiburg, Deutschland",Bayrisch Essen und Gastfreundschaft geht anders.,2.0,berlin,Augustiner am Gendarmenmarkt,de,Bayrisch Essen und Gastfreundschaft geht anders. Einfach nur enttäuschend. Einzig das Bier war geniessbar. Habe ich so in München noch nie erlebt.,0,edbae1fd-cec7-4378-ad7f-4e08924fafe3,de
5,1,921129385,2005104,0,Denn Sie wissen nicht was Sie tun!!!,2023-10-13,Maximilian-62,"Freiburg, Deutschland",Einfach nur enttäuschend.,2.0,berlin,Augustiner am Gendarmenmarkt,de,Bayrisch Essen und Gastfreundschaft geht anders. Einfach nur enttäuschend. Einzig das Bier war geniessbar. Habe ich so in München noch nie erlebt.,1,b431a49d-378a-4468-b8f2-4a92179e61f6,de
6,1,921129385,2005104,0,Denn Sie wissen nicht was Sie tun!!!,2023-10-13,Maximilian-62,"Freiburg, Deutschland",Einzig das Bier war geniessbar.,2.0,berlin,Augustiner am Gendarmenmarkt,de,Bayrisch Essen und Gastfreundschaft geht anders. Einfach nur enttäuschend. Einzig das Bier war geniessbar. Habe ich so in München noch nie erlebt.,2,d007cbbd-859e-49c7-9dd0-8d8d73dbe6eb,de
7,1,921129385,2005104,0,Denn Sie wissen nicht was Sie tun!!!,2023-10-13,Maximilian-62,"Freiburg, Deutschland",Habe ich so in LOC noch nie erlebt.,2.0,berlin,Augustiner am Gendarmenmarkt,de,Bayrisch Essen und Gastfreundschaft geht anders. Einfach nur enttäuschend. Einzig das Bier war geniessbar. Habe ich so in München noch nie erlebt.,3,50ce7941-4377-4fb8-9b7a-9707e5c5bfec,de
8,2,919660348,2005104,0,Gutes Bier und schöne Aussicht,2023-10-03,PaulSandmann,"Berlin, Deutschland","Am LOC gelegen, wird hier leckeres Bier und zünftiges Essen serviert.",4.0,berlin,Augustiner am Gendarmenmarkt,de,"Am Gendarmenmarkt gelegen, wird hier leckeres Bier und zünftiges Essen serviert. Wenn die laue Abendsonne über die Häuser streift und man dem Treiben hier noch einen letzten Blick zu wirft, dann ist die Welt in Ordnung. Ein schöner Ort.",0,02ead5e7-b624-4eb3-8514-d50954302064,de
9,2,919660348,2005104,0,Gutes Bier und schöne Aussicht,2023-10-03,PaulSandmann,"Berlin, Deutschland","Wenn die laue Abendsonne über die Häuser streift und man dem Treiben hier noch einen letzten Blick zu wirft, dann ist die Welt in Ordnung.",4.0,berlin,Augustiner am Gendarmenmarkt,de,"Am Gendarmenmarkt gelegen, wird hier leckeres Bier und zünftiges Essen serviert. Wenn die laue Abendsonne über die Häuser streift und man dem Treiben hier noch einen letzten Blick zu wirft, dann ist die Welt in Ordnung. Ein schöner Ort.",1,dd7433a1-45c6-4fd5-a160-1754987307cf,de
