,Unnamed: 0,review_id,restaurant_id,page_index,title,date,author_name,author_location,text,rating,city,restaurant_name,language_code,text_noanonymization,sentence_idx,id,detected_language
0,2012,911767426,782302,0,Pech gehabt!,2023-08-20,pittinicki,"Luxemburg, Luxemburg","Die Gäste, die dann noch im Restaurant sind, haben eben Pech.",1.0,dresden,Pulverturm an der Frauenkirche,de,"Wir waren gegen 20.00 Uhr im Restaurant. Man liess uns eine halbe Stunde warten ehe man unsere Bestellung aufnahm. Als wir um 21.13 Uhr ein Dessert bestellen wollten, meinte die Bedienung, das sei unmöglich, da die Küche schon geschlossen sei. Als wir sie darauf hinwiesen, dass das Restaurant bis 22.00 Uhr geöffnet sei, erklärte sie uns, dass, wenn wenig Gäste da wären, die Küche früher schliessen würde. Die Gäste, die dann noch im Restaurant sind, haben eben Pech.",4,7a8af706-b7e9-40db-80ca-03fb392df7d6,de
1,2204,880730953,1504431,0,Menükarussel der anderen Art,2023-03-02,B5067QCmartinas,,Schade!,2.0,bochum,Yamas meze restaurant & weinbar,de,"Optisch ein sehr schönes Lokal. Leider war die Geräuschkulisse wie auf einem Bahnhof und wir saßen gefühlt wie in einem Durchgang.Das Essen war optisch nett. Vorspeise Zaziki, lecker, aber nichts besonderes. Hauptspeise, mehr Teig als Fleisch. Das Lamm habe ich nicht rausgeschmeckt. Der Nachtisch ging gar nicht. Harter Teig mit viel Schokoladensoße.Der Rotwein war gut. Wir mussten aber bei leeren Gläsern jedes Mal nachfragen.Das kenne ich beim Menükarussel anders.Preis-Leistungsverhältnis passte null, völlig überzogen. Schade!",8,0eee5bde-a56e-490c-865e-ee38b5b68b02,de
2,3015,880194942,2640161,0,Essen Flop👎 Ambiente/Service/Bier Top👍,2023-02-26,Vegasmann,"Rosenheim, Deutschland",Das Ambiente ist auch super und für ein Bräustüberl absolut stimmig.,3.0,augsburg,Riegele Wirtshaus,de,"Wir waren zum Abendessen im Riegele Wirtshaus. Der Service war schnell, freundlich und Aufmerksam. Das Ambiente ist auch super und für ein Bräustüberl absolut stimmig. Beim Essen wurden wir jedoch ziemlich enttäuscht. Der Burger war ziemlich trocken, die ölgetränkten Pommes waren leider auch kein Highlight.Das Bierbraterl im Reindel war jedoch der eigentliche Reinfall. Die Beilagen wären noch ok gewesen, der Braten selbst jedoch einfach noch nicht fertig und zäh. Auf meine Reklamation hin, wurde mir ein neues Gericht gebracht. Leider mit den gleichen Mängel wie bei reklamieren Gericht. Die ""Kruste"" ein wabeliger Fettdeckel, das Fleisch wieder zäh und noch nicht durch. Wenn der Koch eine zweite Chane nicht nutzt, muss ich davon ausgehen, er will, oder kann es nicht besser.Die Jungs an der Bar waren jedoch zu jederzeit bemüht den Fehler zu beseitigen. Auf ein zwei schöne Biere kommen wir sicher wieder, essen werden wir vermutlich nicht mehr. ",2,92ceb6b4-7d93-4b9f-a08c-645318d605a4,de
3,435,879355767,10322027,18,Authentisch!,2023-02-19,Sightsee42202584629,"La Gomera, Spanien",Hier waren wir nach einem Konzert in der LOC und es hat uns sehr gut gefallen.,4.0,hamburg,Ola Lisboa,de,"Es gibt so viele Restaurants im Portugiesenviertel beim Hamburger Hafen. Hier waren wir nach einem Konzert in der Elbphili und es hat uns sehr gut gefallen. Freundliche und aufmerksame Bedienung, obwohl sehr gut besucht. Das Essen ist sehr schmackhaft. Sehr sehr gut die Vorspeise „Gefüllte Riesenchampignons“! Wir werden in jedem Fall wiederkommen.",1,8bc6666b-9a3c-408c-86dc-a56726e9a22a,de
4,3211,865168700,5207419,0,Ich liebe diese Haxe,2022-10-19,BibiH41366,,Und ich weiß dass ich niemals irgendwo anders eine Haxe testen werde und hoffe einfach nur dass dieses Lokal uns noch lange erhalten bleibt.,5.0,mönchengladbach,Brauerei zum Stefanus,de,Wir sind nicht zum ersten Mal aber auch definitiv nicht zum letzten Mal da gewesen. Haxe wo man noch nicht mal ein Messer braucht. Und ich weiß dass ich niemals irgendwo anders eine Haxe testen werde und hoffe einfach nur dass dieses Lokal uns noch lange erhalten bleibt. Super nettes aufmerksames Personal. Chef kommt auch selber an den Tisch und ist sehr lustig. Immer wieder ein absolutes Erlebnis.,2,709d6b9c-9565-46fb-8b34-b442e186b7a7,de
5,1494,913745984,1340567,0,Kein wirklicher Spanier,2023-08-29,Frank S,,"Da slle Köche sus LOC kommen, wäre ein Coaching mit einem Könner angebracht.",1.0,leipzig,Cafe Madrid,de,"Wir hatten uns mega auf einen spanischen Abend gefreut. Wir bestellten die große Tapasplatte für 2 Personen für 60 Euro. Was würdet Ihr erwarten. Es waren die schlechtesten Tapas die ich bisher hatte. Da slle Köche sus Deutschland kommen, wäre ein Coaching mit einem Könner angebracht. Service ok, aber wenn die Küche keinen Bock hat sich weiterzuentwickeln bringt es nichts. Meine Rechnung über 120 Euro für 2 Personen war heute schlecht angelegt. Bitte passt daher auf, was ihr bestellt oder sucht Euch in Leipzig einen richtigen Spanier",4,f4547f28-7222-42e0-b477-c7c8e4c58e2c,de
6,2134,883479717,1220514,0,Fast Food Italienisch ,2023-03-25,rubernbg,"Nürnberg, Deutschland","Das Essen : Licht und Schatten: die Antipasti misto mit billigen Mozarella - die Lammkoteletts waren dafür 1a, ebenso die Fusili mit salciche3.",2.0,nürnberg,Padelle d'Italia,de,"1. Reservieren geht nur von 17:30-19.30 oder von 19.30 - ..wenn man mal also die erste Runde möchte , ist man von einem entspannten Dinner meilenweit entfernt . Das Restaurant ist busy und die Atmosphäre gleicht eher fast food als vera cucina italiana! Dass man vom Inhaber persönlich begrüßt wird, halte ich für ein Gerücht 2. Das Essen : Licht und Schatten: die Antipasti misto mit billigen Mozarella - die Lammkoteletts waren dafür 1a, ebenso die Fusili mit salciche3. Spekulieren, dass man (am Samstag ) länger sitzen bleiben kann sollte man nicht , wir wurden um 19:45 höflich darauf hingewiesen , dass unsere Zeit um sei, da hilft auch der Limoncello aufs Haus nicht .Insgesamt eher eine Abfertigungskantine mit nur tw guten Essen mehr aber auch nicht . Wer einen schönen Abend mit gutem Essen und in angenehmer Atmosphäre verbringen will , ist hier fehl am Platz. Schade ",4,dccc0686-8165-4f9d-982a-f80a2a060191,de
7,1668,914913898,1884768,0,Gastfreundlichkeit geht anders,2023-09-05,Werner A,"Marl, Deutschland",Tische blieben auch den restlichen Abend frei.,3.0,bremen,Kleiner Olymp,de,"Sehr leckerer Fisch, gutes Bier. Keinen Platz im Obergeschoss trotz mehrerer freier Tische zu bekommen, weil wir das winzige Schild übersehen haben, dass man platziert wird, hat uns nicht gefreut. Tische blieben auch den restlichen Abend frei. Gastfreundschaft geht anders.",2,ef331aea-c581-4ec9-be31-10f239834542,de
8,1122,874737300,965262,1,Muss man erlebt haben,2023-01-11,Jonas_1984DE,"Korschenbroich, Deutschland","Der Laden ist ein wahrer Fuchsbau mit zahlreichen urigen Räumen, die Köbesse sind grimmig-gleichgültig, das Essen gut-bürgerlich.",4.0,düsseldorf,Uerige Hausbrauerei,de,"Geschmacklich ist das Uerige Alt nicht mein Lieblings-Altstadt-Alt (recht herbe Angelegenheit), aber das Uerige an sich muss man erlebt haben. Der Laden ist ein wahrer Fuchsbau mit zahlreichen urigen Räumen, die Köbesse sind grimmig-gleichgültig, das Essen gut-bürgerlich. Man muss alles daran mögen, aber für ein bis vier Alt sollte man hier schon einkehren, wenn man in Düsseldorf ist.",1,06aacbb0-fc65-4bc5-8068-7d743f34d32a,de
9,1448,870758513,2084055,26,Einfach Spitze,2022-12-05,Scxrdae,"Dahn, Deutschland","Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen.",5.0,leipzig,Ratskeller,de,"Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen. Wir kommen gerne wieder !",0,2d1ab6cd-00c1-47ba-b342-eb5cae2332ed,de
