"Unnamed: 0","Unnamed: 0.1","agreement","annotation_id","annotator","aspect_available_without_judgement","author_location","author_name","city","created_at","date","detected_language","id","label-explicit","label-implicit","language_code","lead_time","page_index","rating","restaurant_id","restaurant_name","review_id","sentence_idx","text","text_noanonymization","title","two_or_more_sentences","updated_at"
2012,0,100.0,26414479,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","Luxemburg, Luxemburg","pittinicki","dresden","2023-11-20T11:44:30.197065Z","2023-08-20","de","7a8af706-b7e9-40db-80ca-03fb392df7d6","","","de",9.168,0,1.0,782302,"Pulverturm an der Frauenkirche",911767426,4,"Die Gäste, die dann noch im Restaurant sind, haben eben Pech.","Wir waren gegen 20.00 Uhr im Restaurant. Man liess uns eine halbe Stunde warten ehe man unsere Bestellung aufnahm. Als wir um 21.13 Uhr ein Dessert bestellen wollten, meinte die Bedienung, das sei unmöglich, da die Küche schon geschlossen sei. Als wir sie darauf hinwiesen, dass das Restaurant bis 22.00 Uhr geöffnet sei, erklärte sie uns, dass, wenn wenig Gäste da wären, die Küche früher schliessen würde. Die Gäste, die dann noch im Restaurant sind, haben eben Pech.","Pech gehabt!","","2023-11-20T11:44:30.197085Z"
2204,1,100.0,26414489,"nils-constantin.hellwig@stud.uni-regensburg.de","","","B5067QCmartinas","bochum","2023-11-20T11:44:47.033098Z","2023-03-02","de","0eee5bde-a56e-490c-865e-ee38b5b68b02","","[{""end"":7,""text"":""Schade!"",""start"":0,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]","de",7.304,0,2.0,1504431,"Yamas meze restaurant & weinbar",880730953,8,"Schade!","Optisch ein sehr schönes Lokal. Leider war die Geräuschkulisse wie auf einem Bahnhof und wir saßen gefühlt wie in einem Durchgang.Das Essen war optisch nett. Vorspeise Zaziki, lecker, aber nichts besonderes. Hauptspeise, mehr Teig als Fleisch. Das Lamm habe ich nicht rausgeschmeckt. Der Nachtisch ging gar nicht. Harter Teig mit viel Schokoladensoße.Der Rotwein war gut. Wir mussten aber bei leeren Gläsern jedes Mal nachfragen.Das kenne ich beim Menükarussel anders.Preis-Leistungsverhältnis passte null, völlig überzogen. Schade!","Menükarussel der anderen Art","","2023-11-20T11:44:47.033118Z"
3015,2,100.0,26414494,"nils-constantin.hellwig@stud.uni-regensburg.de","","Rosenheim, Deutschland","Vegasmann","augsburg","2023-11-20T11:44:58.280028Z","2023-02-26","de","92ceb6b4-7d93-4b9f-a08c-645318d605a4","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","","de",10.35,0,3.0,2640161,"Riegele Wirtshaus",880194942,2,"Das Ambiente ist auch super und für ein Bräustüberl absolut stimmig.","Wir waren zum Abendessen im Riegele Wirtshaus. Der Service war schnell, freundlich und Aufmerksam. Das Ambiente ist auch super und für ein Bräustüberl absolut stimmig. Beim Essen wurden wir jedoch ziemlich enttäuscht. Der Burger war ziemlich trocken, die ölgetränkten Pommes waren leider auch kein Highlight.Das Bierbraterl im Reindel war jedoch der eigentliche Reinfall. Die Beilagen wären noch ok gewesen, der Braten selbst jedoch einfach noch nicht fertig und zäh. Auf meine Reklamation hin, wurde mir ein neues Gericht gebracht. Leider mit den gleichen Mängel wie bei reklamieren Gericht. Die ""Kruste"" ein wabeliger Fettdeckel, das Fleisch wieder zäh und noch nicht durch. Wenn der Koch eine zweite Chane nicht nutzt, muss ich davon ausgehen, er will, oder kann es nicht besser.Die Jungs an der Bar waren jedoch zu jederzeit bemüht den Fehler zu beseitigen. Auf ein zwei schöne Biere kommen wir sicher wieder, essen werden wir vermutlich nicht mehr. ","Essen Flop👎 Ambiente/Service/Bier Top👍","","2023-11-20T11:44:58.280052Z"
435,3,100.0,26414503,"nils-constantin.hellwig@stud.uni-regensburg.de","","La Gomera, Spanien","Sightsee42202584629","hamburg","2023-11-20T11:45:13.092539Z","2023-02-19","de","8bc6666b-9a3c-408c-86dc-a56726e9a22a","[{""end"":44,""text"":""LOC"",""start"":41,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","","de",13.999,18,4.0,10322027,"Ola Lisboa",879355767,1,"Hier waren wir nach einem Konzert in der LOC und es hat uns sehr gut gefallen.","Es gibt so viele Restaurants im Portugiesenviertel beim Hamburger Hafen. Hier waren wir nach einem Konzert in der Elbphili und es hat uns sehr gut gefallen. Freundliche und aufmerksame Bedienung, obwohl sehr gut besucht. Das Essen ist sehr schmackhaft. Sehr sehr gut die Vorspeise „Gefüllte Riesenchampignons“! Wir werden in jedem Fall wiederkommen.","Authentisch!","","2023-11-20T11:45:13.092559Z"
3211,4,100.0,26414517,"nils-constantin.hellwig@stud.uni-regensburg.de","","","BibiH41366","mönchengladbach","2023-11-20T11:45:36.203038Z","2022-10-19","de","709d6b9c-9565-46fb-8b34-b442e186b7a7","[{""end"":108,""text"":""Lokal"",""start"":103,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","","de",22.17,0,5.0,5207419,"Brauerei zum Stefanus",865168700,2,"Und ich weiß dass ich niemals irgendwo anders eine Haxe testen werde und hoffe einfach nur dass dieses Lokal uns noch lange erhalten bleibt.","Wir sind nicht zum ersten Mal aber auch definitiv nicht zum letzten Mal da gewesen. Haxe wo man noch nicht mal ein Messer braucht. Und ich weiß dass ich niemals irgendwo anders eine Haxe testen werde und hoffe einfach nur dass dieses Lokal uns noch lange erhalten bleibt. Super nettes aufmerksames Personal. Chef kommt auch selber an den Tisch und ist sehr lustig. Immer wieder ein absolutes Erlebnis.","Ich liebe diese Haxe","","2023-11-20T11:45:36.203065Z"
1494,5,100.0,26414534,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","","Frank S","leipzig","2023-11-20T11:46:01.111850Z","2023-08-29","de","f4547f28-7222-42e0-b477-c7c8e4c58e2c","","","de",23.939,0,1.0,1340567,"Cafe Madrid",913745984,4,"Da slle Köche sus LOC kommen, wäre ein Coaching mit einem Könner angebracht.","Wir hatten uns mega auf einen spanischen Abend gefreut. Wir bestellten die große Tapasplatte für 2 Personen für 60 Euro. Was würdet Ihr erwarten. Es waren die schlechtesten Tapas die ich bisher hatte. Da slle Köche sus Deutschland kommen, wäre ein Coaching mit einem Könner angebracht. Service ok, aber wenn die Küche keinen Bock hat sich weiterzuentwickeln bringt es nichts. Meine Rechnung über 120 Euro für 2 Personen war heute schlecht angelegt. Bitte passt daher auf, was ihr bestellt oder sucht Euch in Leipzig einen richtigen Spanier","Kein wirklicher Spanier","","2023-11-20T11:46:01.111872Z"
2134,6,100.0,26414666,"nils-constantin.hellwig@stud.uni-regensburg.de","","Nürnberg, Deutschland","rubernbg","nürnberg","2023-11-20T11:49:11.512398Z","2023-03-25","de","dccc0686-8165-4f9d-982a-f80a2a060191","[{""end"":94,""text"":""Lammkoteletts"",""start"":81,""labels"":[""FOOD-POSITIVE""]},{""end"":142,""text"":""Fusili mit salciche3"",""start"":122,""labels"":[""FOOD-POSITIVE""]},{""end"":74,""text"":""Mozarella"",""start"":65,""labels"":[""FOOD-NEGATIVE""]}]","","de",189.537,0,2.0,1220514,"Padelle d'Italia",883479717,4,"Das Essen : Licht und Schatten: die Antipasti misto mit billigen Mozarella - die Lammkoteletts waren dafür 1a, ebenso die Fusili mit salciche3.","1. Reservieren geht nur von 17:30-19.30 oder von 19.30 - ..wenn man mal also die erste Runde möchte , ist man von einem entspannten Dinner meilenweit entfernt . Das Restaurant ist busy und die Atmosphäre gleicht eher fast food als vera cucina italiana! Dass man vom Inhaber persönlich begrüßt wird, halte ich für ein Gerücht 2. Das Essen : Licht und Schatten: die Antipasti misto mit billigen Mozarella - die Lammkoteletts waren dafür 1a, ebenso die Fusili mit salciche3. Spekulieren, dass man (am Samstag ) länger sitzen bleiben kann sollte man nicht , wir wurden um 19:45 höflich darauf hingewiesen , dass unsere Zeit um sei, da hilft auch der Limoncello aufs Haus nicht .Insgesamt eher eine Abfertigungskantine mit nur tw guten Essen mehr aber auch nicht . Wer einen schönen Abend mit gutem Essen und in angenehmer Atmosphäre verbringen will , ist hier fehl am Platz. Schade ","Fast Food Italienisch ","","2023-11-20T11:49:11.512415Z"
1668,7,100.0,26414702,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","Marl, Deutschland","Werner A","bremen","2023-11-20T11:50:02.798293Z","2023-09-05","de","ef331aea-c581-4ec9-be31-10f239834542","","","de",50.364,0,3.0,1884768,"Kleiner Olymp",914913898,2,"Tische blieben auch den restlichen Abend frei.","Sehr leckerer Fisch, gutes Bier. Keinen Platz im Obergeschoss trotz mehrerer freier Tische zu bekommen, weil wir das winzige Schild übersehen haben, dass man platziert wird, hat uns nicht gefreut. Tische blieben auch den restlichen Abend frei. Gastfreundschaft geht anders.","Gastfreundlichkeit geht anders","","2023-11-20T11:50:02.798312Z"
1122,8,100.0,26414765,"nils-constantin.hellwig@stud.uni-regensburg.de","","Korschenbroich, Deutschland","Jonas_1984DE","düsseldorf","2023-11-20T11:51:04.104915Z","2023-01-11","de","06aacbb0-fc65-4bc5-8068-7d743f34d32a","[{""end"":63,""text"":""Räumen"",""start"":57,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":113,""text"":""Essen"",""start"":108,""labels"":[""FOOD-POSITIVE""]},{""end"":76,""text"":""Köbesse"",""start"":69,""labels"":[""PRICE-NEGATIVE""]}]","","de",60.376,1,4.0,965262,"Uerige Hausbrauerei",874737300,1,"Der Laden ist ein wahrer Fuchsbau mit zahlreichen urigen Räumen, die Köbesse sind grimmig-gleichgültig, das Essen gut-bürgerlich.","Geschmacklich ist das Uerige Alt nicht mein Lieblings-Altstadt-Alt (recht herbe Angelegenheit), aber das Uerige an sich muss man erlebt haben. Der Laden ist ein wahrer Fuchsbau mit zahlreichen urigen Räumen, die Köbesse sind grimmig-gleichgültig, das Essen gut-bürgerlich. Man muss alles daran mögen, aber für ein bis vier Alt sollte man hier schon einkehren, wenn man in Düsseldorf ist.","Muss man erlebt haben","","2023-11-20T11:51:04.104935Z"
1448,9,100.0,26414839,"nils-constantin.hellwig@stud.uni-regensburg.de","","Dahn, Deutschland","Scxrdae","leipzig","2023-11-20T11:52:19.525150Z","2022-12-05","de","2d1ab6cd-00c1-47ba-b342-eb5cae2332ed","[{""end"":26,""text"":""Team"",""start"":22,""labels"":[""SERVICE-POSITIVE""]},{""end"":42,""text"":""Chefs"",""start"":37,""labels"":[""SERVICE-POSITIVE""]},{""end"":192,""text"":""Küche"",""start"":187,""labels"":[""FOOD-POSITIVE""]},{""end"":226,""text"":""Personal"",""start"":218,""labels"":[""SERVICE-POSITIVE""]}]","","de",74.585,26,5.0,2084055,"Ratskeller",870758513,0,"Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen.","Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen. Wir kommen gerne wieder !","Einfach Spitze","","2023-11-20T11:52:19.525171Z"
