id,second_annotator_comment,annotation,aspect_available_without_judgement,text
acb9c5da-b48e-452c-aef5-1c01601aa251,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Man muss sich nicht wundern, wenn sich die potentiellen RestaurantbesucherSolcher Leistungen verweigern!Ich werde Dritten den Besuch im LOC abraten!"
87903ffa-a10a-44cf-968f-a2c38f82706d,,"('FOOD', 'NEGATIVE', 'Garnelen')
('FOOD', 'NEGATIVE', 'Hähnchenfleisch')
",,Sowohl Hähnchenfleisch als auch Garnelen waren komplett übergart und trocken.
99e6780c-eb6d-45ec-afe3-7c20d8500ac6,,,,Waren gestern mit 10 Personen dort.
2f886ca9-59c8-4789-a8a7-484fcca42b5f,,"('SERVICE', 'POSITIVE', 'Kellner*innen')
('AMBIENCE', 'POSITIVE', 'Atmosphäre')
('AMBIENCE', 'POSITIVE', 'Musik')
",,Die gute Laune der Kellner*innen und die Musik schaffen aber dennoch eine angenehme Atmosphäre.
77b108e0-690c-4764-bf41-599bf1db9f8d,,"('SERVICE', 'POSITIVE', 'Service')
",,Netter und freundlicher Service.
93ece0ca-e705-4039-a10c-de15f39210b4,,"('SERVICE', 'NEGATIVE', 'Kellner')
",,"Wir wurden erst bestimmt eine Stunde komplett ignoriert und nachdem wir zwei mal auf uns Aufmerksam gemacht haben, kam ein absolut grantiger Kellner."
e80e7023-2d6d-4447-9cdf-47ddf6b6d7f3,,,✅,"Als wir dem Kellner dies mitteilten, bot dieser zwar Salz und Pfeffer an, aber das war nicht das Problem."
727344a6-6c89-4b90-a399-88566e39b560,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Die Lage, bzw das Restaurant selber entsprechen leider nicht dem Eindruck den die Bilder und Speisen, insbesondere die Preise selbiger, aus dem Online Auftritt hinterlassen.Die Einrichtung ist zwar passend, aber leider billig und abgeranzt."
ec460bbc-5255-4f9d-89b9-397f35f75aad,,"('FOOD', 'NEGATIVE', 'Schnitzel')
('FOOD', 'NEGATIVE', 'Bratkartoffeln')
",,"Nichts tolles, nichts übetkandiedeltes, sondern Schnitzel und Bratkartoffeln."
b711b3ff-4451-419c-8f1d-7a75bfe049af,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Für die Vegetarier gab es immer passend zum aktuellen Gang noch ein zusätzliches vegetarisches Gericht aus der Küche.Wir hatten einen tollen Abend und werden das sicher noch einmal wiederholen.
026c2ce6-cd2a-4611-9ce0-74ff9ec903bb,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,Ein Alptraum!
9dac78e5-77c3-42f6-be1e-594bd4adbea1,,"('SERVICE', 'NEGATIVE', 'NULL')
",,"Wir verstehen, dass die Gastronomie nach LOC Personalmangel hat, aber so geht es wirklich nicht."
6abb1ff8-41d6-454b-bcdc-91b290839d70,,"('AMBIENCE', 'CONFLICT', 'Live Musik')
",,"Die Live Musik ist bemüht, aber die Ansprüche sollten nicht zu hoch sein, und die Melodie von „Ein Prosit"" kennt man bald auswendig."
0b181899-f405-443a-950e-aa3f8f4eab50,,"('SERVICE', 'NEGATIVE', 'Service')
('FOOD', 'POSITIVE', 'Speiseangebot')
",,"LOC mit abwechslungsreichen Speiseangebot, der Service ist eingedeutscht."
ea68449b-7340-467a-ad37-ca0630def331,,"('FOOD', 'POSITIVE', 'NULL')
",,Beides schmeckte uns hervorragend !
f47fbef8-088a-4642-a2b0-a121ff5d2aef,,,✅,Stattdessen sollte ich einen Sonnenplatz einnehmen.
9ba7da25-6bbe-47b7-a0ba-a055a2b8abdf,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Schönes bairisches Wirtshaus mit katastrophalerer küchenleistung.War mit meiner Frau im Augustiner zu Gast.
c4feca07-73ad-45c7-a09d-c0b9c182c21f,,,✅,Wir waren zum ersten mal in diesem Restaurant.
b1f29217-23cb-4d5e-a77c-862a4d45cefd,,"('FOOD', 'POSITIVE', 'NULL')
",,In LOC erwartet Sie ein kulinarischer Ausflug nach LOC in der LOC.
3006d845-fc7e-4fe7-827b-a531dc60a788,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Kommen immer wieder gerne!
c9c63eb9-d42e-4e32-9d21-8fbe11d14186,,,✅,Ich hatte eine Getränkerechnung von 10.40€ und legte besagtem Kellner einen 50€-Schein + 2€ hin in dem Willen ihn auf 12€ aufrunden zu lassen.
11dbc934-b5b9-40d8-bef6-5ea5df0e6bfd,,,✅,Es bestand im Wesentlichen aus einer Art Soße mit etwas Gemüse.
01a080b0-4ab6-4186-85c8-0cb4fd44d54c,,"('SERVICE', 'POSITIVE', 'Bedienung')
('AMBIENCE', 'NEGATIVE', 'Tisch')
",,"Die Bedienung war nett, auf den verschmutzen Tisch musste ich hinweisen."
f6918df6-823a-4c5f-81ec-20dbed75fc3c,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Wir kommen gerne wieder.
b1342763-13df-475b-8cd3-70a42c230fed,,"('FOOD', 'POSITIVE', 'Essen')
('SERVICE', 'POSITIVE', 'Bedienung')
",,"Feines Essen, nette Bedienung."
4834d721-8ee3-4d94-83e7-e9be760dca0f,,"('SERVICE', 'NEGATIVE', 'Personal')
",,"LOC unfreundliches, überfordertes und langsames Personal."
c56de5ea-e388-4d68-8058-57164ee0bd8f,,"('FOOD', 'NEGATIVE', 'Gerichte')
('FOOD', 'POSITIVE', 'Trüffel')
('FOOD', 'POSITIVE', 'Zutaten')
",,"Gerichte sind eher bodenständig und nicht fein abgestimmt (trotz teilweise hochwertiger Zutaten, wie Trüffel)."
fbe35763-367d-4b17-9f46-bd2751e443c6,,"('GENERAL-IMPRESSION', 'NEUTRAL', 'NULL')
",,"Nicht schlecht, aber auch nix besonderes."
d9450ff3-5e5c-4a87-9053-b9bec4fb8323,,,✅,Dennoch fällt mir in letzter Zeit auf das die Kohlensäure sich schnell verabschiedet ehe ich das Glas überhaupt halb leer getrunken habe.
27b0f84c-cdf4-4ec8-acb3-ae7c692ac255,,"('FOOD', 'POSITIVE', 'Speisen')
('FOOD', 'POSITIVE', 'Roast Beef mit Bratkartoffeln')
('SERVICE', 'POSITIVE', 'Köbes')
",,"Der Köbes macht Sprüche und war auf Zack, die Speisen sehr lecker, zu empfehlen ist Roast Beef mit Bratkartoffeln."
3d6c9aaf-be31-413a-bb92-42b457225a59,,"('FOOD', 'NEGATIVE', 'NULL')
",,Er war schmierig und hat etwas schlecht geschmeckt.
2cf4908b-cf16-46bb-ae5c-fabd00d17b2e,,"('FOOD', 'NEGATIVE', 'NULL')
",,Das konnte man gar nicht essen.
13974469-e171-4468-add8-91e8daa590ff,,"('AMBIENCE', 'NEGATIVE', 'Atmosphäre')
('AMBIENCE', 'NEGATIVE', 'Gewusel')
",,LOC mir wenig Atmosphäre und sehr viel Gewusel.
bab8e201-7909-4134-b3ef-5e68a94d7899,,"('FOOD', 'POSITIVE', 'LOCes Gose')
",,Auch die LOCes Gose (Bier) für Besucher uneingeschränkt zu empfehlen.
00294784-76a6-4d84-adf5-52be8a603497,,,,Wir waren an Ostern jetzt schon 2 mal in der Metzgerei.
71433d20-55a0-454e-81d9-2959bca5a823,,,✅,Da bekomme ich sogar zwei bis drei Ouzos ungefragt hingestellt und das Ganze sogar ohne LOCl.
a503be50-bf6a-4c13-97d5-c8b267d96ce7,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,!Ist man dann LOC meinem Essen fehlte dann die Hälfte.Erst nach studieren der Karte und einer kleineren Diskussion (Service glaubte mir nicht) sah er dann ein das einiges auf der Platte fehlte.Ich bestellte noch eine Pizza Take away.Diese bekam ich dann mit meinem Essen!!!!Warum???
52064097-4dce-462f-adc4-1ed081c5be5e,,"('FOOD', 'NEGATIVE', 'NULL')
('FOOD', 'NEGATIVE', 'Speck')
",,Mir aber zu fettig und zuviel Speck.
81900a95-361d-46d7-82f4-0d91d47ba610,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Alles in allem ein schöner Sonntagabend.
baa9024d-76ea-48cd-b061-fb1bc4c8a9e7,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Wir kommen gerne wieder!
fe998335-6aa3-4069-9ba8-69e1d5f2044d,,,✅,"Das Essen kann ich leider nicht bewerten, da mein Besuch in diesem Etablissement schon nach 10 Minuten zu Ende ging."
401d5489-cea8-4ed2-88fe-e74d29792de6,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Bringen tun das meine Kollegen.“ Und diese Reaktion gab es vom nächsten Kellner so ähnlich.Auch nach 45 Minuten war kein Kaffee da.Darauf angesprochen wird der Gast noch beschimpft.
018f30b0-5b20-4e2d-820a-0665819c0734,,"('FOOD', 'POSITIVE', 'Trinken')
('FOOD', 'NEGATIVE', 'essen')
",,"Trinken geht da gut, essen besser woanders!!"
457d7d26-7b5d-4b48-b79f-7382b5c998fd,MammaMia wird hier namentlich erwähnt - müsste es hier nicht LOC stattdessen sein? 📍,"('GENERAL-IMPRESSION', 'POSITIVE', 'MammaMia')
('AMBIENCE', 'POSITIVE', 'Atmosphäre')
",,Das MammaMia ist ein wahrlich schönes Restaurant mit sehr angenehmer und lockerer Atmosphäre.
e79603fe-b619-4f7f-bd51-64233f406289,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Kommen gerne wieder.
6909259e-dafa-467e-863d-0a63e0ec4cba,,,,Heute mußten wir 20 min.
e7888ca4-f068-468c-b1dc-b97a3c1762f7,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,"Wir waren heute zum zweiten Mal da, das erste Mal war wirklich traumhaft."
b2eff795-49e7-49f3-96b2-dc5099855143,,"('SERVICE', 'NEGATIVE', 'Kellner')
('FOOD', 'NEUTRAL', 'Essen')
",,Gestresste überhebliche Kellner und das Essen nur noch Mittelmass.
4e8afd9a-340b-428e-88da-10589eaf3bcf,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Wir wurden fast nicht entäuscht.Bestell wurde Schwertfisch und das Bähm Menü.
b40b938c-85f3-4fbd-a482-474004dc56d7,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
",,Ein traditionelles Restaurant wie aus dem Bilderbuch.
14db79fd-2df8-46e0-9f04-418007cfefc1,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Kein Blickkontakt, flapsige Kommentare - eher ein Abfertigen statt Restauranterlebnis.Nudeln waren okay, LOC sehr gut - Soße Maggi Mix vom Geschmack.Schokosouffle aus der Mikrowelle ohne versprochenen flüssigen Kern, also überteuert."
309ab300-06a3-4a78-b6c1-a37969e0b5f6,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,Leider war unser Besuch mehr als enttäuschend.
5ce86918-8ad1-455d-8e9d-3bc674711b56,,"('FOOD', 'NEGATIVE', 'NULL')
",,"Von dünn und knusprig, goldbraun gebraten keine Spur."
1454a8b6-9c05-43f1-a61c-0c5d974b1104,,"('SERVICE', 'POSITIVE', 'Gastgeberin')
",,Sehr nette Gastgeberin.
3393c757-71db-4b05-b8e8-bf24d3a15189,,"('SERVICE', 'POSITIVE', 'Matthias Richter')
",,"Der Braumeister Matthias Richter versteht nicht nur nur sein Handwerk perfekt, er ist auch ein erstklassiger Redner mit viel Esprit."
4eb76eff-3f01-4e3c-a785-27c76dc4853b,,"('SERVICE', 'NEGATIVE', 'Bedienung')
",,"Die zahlreich umstehende Bedienung rührte dies nicht, kein Wort des Bedauerns, keinerlei Nachfrage oder gar ob ich vielleicht etwas anderes...?"
1451e7d3-e281-4867-ac8c-5768ee8fbd60,,"('FOOD', 'NEGATIVE', 'Wirsing')
('FOOD', 'NEGATIVE', 'Chef Spezial')
('FOOD', 'NEGATIVE', 'Anzahl der Matjes')
('FOOD', 'NEGATIVE', 'Rösti')
('FOOD', 'NEGATIVE', 'Kartoffelpüree')
",✅,"Kartoffelpüree zum LOC aus der Packung mit Wasser angerührt, die Rösti auch vorgefertigte TK-Ware, Anzahl der Matjes war zu wenig, der Wirsing war total verkocht und beim ""Chef Spezial"" suchte man die Kapern und das Ei vergeblich."
98c9e944-3a02-497b-aae6-0b7625fcea62,,"('PRICE', 'NEGATIVE', 'Preis/Leistung')
",,Preis/Leistung stimmt nicht..
ae9a8719-c90f-4357-8dec-d0ff651d6a25,,,,Wichtig :Reservation!
43ddc4e3-b9be-4644-80ac-0ff9c8214683,,"('FOOD', 'POSITIVE', 'Pasta')
",,"Das war ein Volltreffer, ich kann mich nicht daran erinnern jemals so eine gute Pasta gegessen zu haben."
8de94cb9-ba80-4d5e-98ce-1b85f4b28f3e,,,✅,Gekochte Eier blau.
5a77c405-27be-451d-a1bc-6ead155c2f9f,,,✅,"Damit nicht genug, die Bedienung schenkte gerne zügig nach - mischte dabei aber bei zwei Freunden die Weißweine!"
e1199a6e-5c35-4694-929e-2ed5f6e4a5d6,,"('FOOD', 'NEGATIVE', 'Champignonschnitzel')
('FOOD', 'NEGATIVE', 'Pilze')
('FOOD', 'NEGATIVE', 'Rosmarien')
",,Das Champignonschnitzel völlig überladen mit Rosmarien und die Pilze sehr dunkel.
7d37ad54-c736-4407-b679-b4a67992f923,,,,Wir waren zum Mittagessen unter der Woche dort.
851a7f78-a0c4-49a6-ad2a-291f8b428b2a,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
('SERVICE', 'POSITIVE', 'Bedienung')
",,"Es stimmte alles: die Bedienung war sehr engagiert, kompetent und mega freundlich."
14d5de55-8e6f-4cf3-a63f-d73f5e988146,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,Wir und unsere Freunde gehen dort nie wieder hin.
95e46cb9-2cb8-4081-8681-b6134e9a1ad5,,"('SERVICE', 'NEGATIVE', 'Kellner')
",,"Der Kellner war unfreundlich, langsam und hat uns auch einmal angebrüllt weil wir mehr Alt wollten."
09f49c3e-3132-4253-ac10-886ca27f007a,,"('FOOD', 'POSITIVE', 'Pizza')
('FOOD', 'POSITIVE', 'Boden')
",,"Die Pizza war allerdings super, knuspriger Boden, schön dünn und lecker."
2934fe2e-ed52-4e2b-9988-6a4ed8859f1d,,,,Und das soviel man möchte.
a6952e4a-e0b1-4c13-b97f-e9bea92684a3,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
",,Ein wunderschönes Restaurant zum Verweilen und genießen.
46541b8e-1cdb-4d4c-9bf0-a26e4bf38e60,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Er rief daraufhin seine „Chefin“, ein junges Mädel, der es offensichtlich völlig egal war, und sie sagte: kein Problem, dann kriegt ihr nen Kaffee umsonst.NIE WIEDER!"
94742e68-d62c-46e0-9a22-5dbd32f5db80,,,✅,Dazu gab es LOC Kraut.
b7d2f26c-c6de-4a4c-af32-ee4c6acc9a9b,,"('FOOD', 'POSITIVE', 'Essen')
",✅,"Wir haben uns dann jeweils für Vorspeise und Hauptgang entschieden und da kann ich sagen, dass das Essen im Grunde sehr gut war."
a6ced42a-235d-497e-99c5-c21afa95b308,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
",,unumgängliches Restaurant!
4d5764aa-c834-4ffd-bfe9-4fd5683b5549,,"('FOOD', 'POSITIVE', 'Essen')
",,"Das Essen war, wie nicht anders zu erwarten, wieder ein Gedicht."
29a530bf-11d4-4ed2-b3a2-f4859998e8b3,,"('FOOD', 'NEGATIVE', 'NULL')
",,"Ein Stück schieren ""edlen"" Fleisches konnte ich nicht entdecken."
8bfe4835-0627-469c-b358-549c7c165017,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Es sollte ein Schöner 2ter Weihnachtsfeiertag sein,aber trotz Vorreservierung , noch nie so schlechte Plätze gehabt!Direkt am Abräumtisch, dementsprechend Trubel- dazu noch eine sehr arrogante ,unmotivierte Kellnerin Anastassia, die immer erst gerufen werden musste, sehr WortkargEssen aber wie immer sehr Lecker!"
89185cd8-5680-4fef-8c7f-62aa93b6ef13,,"('FOOD', 'NEUTRAL', 'Schnitzel')
",,"Bayrisches Schnitzel war ok, aber auch nicht mehr."
6ea36470-8f40-4b5f-bb22-ee0631424174,,"('SERVICE', 'POSITIVE', 'Personal')
",,"Das Personal sehr nett und aufmerksam, größtenteils viel jünger als wir."
e16b3ec0-6d62-4ace-826e-f462d7a0ac44,,"('FOOD', 'POSITIVE', 'Essen')
('FOOD', 'POSITIVE', 'Seezunge')
('SERVICE', 'POSITIVE', 'Service')
",,Ein toller Abend mit fantastischem Essen von großartiger Qualität -die Seezunge war ein Traum- und einem super Service!
