"Unnamed: 0","Unnamed: 0.1","agreement","annotation_id","annotator","aspect_available_without_judgement","author_location","author_name","city","created_at","date","detected_language","id","label-explicit","label-implicit","language_code","lead_time","page_index","rating","restaurant_id","restaurant_name","review_id","sentence_idx","text","text_noanonymization","title","two_or_more_sentences","updated_at"
901,0,100.0,25876929,"nils-constantin.hellwig@stud.uni-regensburg.de","","Frankfurt am Main, Deutschland","829ingos","frankfurt","2023-11-06T08:34:09.859712Z","2022-11-12","de","f0a7538c-3f56-49b9-913b-2c5a7079cae4","","[{""end"":61,""text"":""ein Kellner"",""start"":50,""labels"":[""SERVICE-NEGATIVE-no-phrase""]}]","de",74.689,13,1.0,1190751,"Trattoria i Siciliani",868199195,3,"Dass man aber 5 Minuten warten muss, bis jemandem ein Kellner erklärt, dass man einen Engpass hat, ist dann schon ein starkes Stück.","Unfassbar unfreundlicher Service. Obwohl wir reserviert hatten, war unser Platz nicht frei, so dass wir bei winterlichen Temperaturen nach draußen komplimentiert wurden, wo mindestens 20 Menschen das gleiche Schicksal teilten. Nun kann es schon mal vorkommen, dass der Tisch nicht pünktlich frei ist. Dass man aber 5 Minuten warten muss, bis jemandem ein Kellner erklärt, dass man einen Engpass hat, ist dann schon ein starkes Stück. Dass man derweil von genervten Kellnerinnen geschubst wird, ist eine Dreistigkeit. Dass man dann draußen vor der Tür weder ein Getränk noch irgendein nettes Wort als Entschuldigung bekommt, passt ins Bild. Wäre das Restaurant ein Gefängnis, wäre alles OK gewesen. Da es aber ein Restaurant sein will, kann ich nur dazu raten, einen ganz weiten Bogen um diesen Ort zu machen. Man kann sein Geld in Frankfurt deutlich besser ausgeben.","Unfassbar schlechter Service. Macht einen Bogen um diesen Ort!","","2023-11-10T15:12:49.812514Z"
3048,1,100.0,25876987,"nils-constantin.hellwig@stud.uni-regensburg.de","","","P6002SFpetram","wiesbaden","2023-11-06T08:34:58.323922Z","2023-08-24","de","f38259a0-a0d6-4dbe-90e6-1ae1ad8c9ccb","[{""end"":35,""text"":""Schinkennummer"",""start"":21,""labels"":[""FOOD-NEGATIVE""]}]","","de",47.498,0,2.0,1005252,"BENNER´s Bistronomie",912583402,1,"Die kostenpflichtige Schinkennummer wird auch nicht dadurch besser, dass sie von den Vorbesitzern erfunden wurde.","Die Karte enthält keine Überraschung, der Service erledigt desinteressiert seinen Job. Die kostenpflichtige Schinkennummer wird auch nicht dadurch besser, dass sie von den Vorbesitzern erfunden wurde. Eine freundliche Küche grüsst mit phantasievollen Kostproben, die neugierig auf Mehr machen. ","Routinierte Langeweile ","","2023-11-06T08:34:58.323945Z"
210,2,100.0,25877029,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","","Simi E","hamburg","2023-11-06T08:35:37.697049Z","2023-05-29","de","813d4c0f-5318-4c69-bfe8-01b5bb795d6c","","","de",39.964,1,3.0,2271294,"Hard Rock Cafe",892418807,2,"Unten war alles frei.","Lange drauf gefreut, sehr enttäuscht. Obwohl Monate vorher reserviert wollte man uns im 1.OG an einen ""Abstelltisch"" mitten im Durchgang setzen. Unten war alles frei. Aber da wollte man dann wohl keinen hinsetzen.. Für nen schnellen Drink wäre es ok gewesen aber nicht zum Essen mit einem 6jährigen Kind. Nach Diskussion, alles auf Englisch obwohl mitten in Hamburg, hat man uns dann auf die Dachterrasse gesetzt. Tolle Lokation. Toller Blick über Hamburg.Der Burger war Medium anstatt wie bestellt well done. Sonst aber sehr lecker, wenn die Soße auch was scharf war, aber das ist ja Geschmackssache. Kindermenü super Preis-Leistung, Getränke ziemlich teuer. Insgesamt war ich ziemlich enttäuscht.. Für den Preis kann man auch woanders gut essen gehen. ","Enttäuscht aber noch ok","","2023-11-08T08:36:29.040552Z"
1654,3,100.0,25877057,"nils-constantin.hellwig@stud.uni-regensburg.de","","Sindelfingen, Deutschland","volkers542","bremen","2023-11-06T08:35:59.772405Z","2023-06-19","de","c30d4932-388a-49bf-88bc-ca3cbfd7def2","[{""end"":44,""text"":""Essen"",""start"":39,""labels"":[""FOOD-NEUTRAL""]}]","","de",21.175,0,4.0,1343851,"Bremer Ratskeller",895902732,5,"Auch für die anderen Begleiter war das Essen ok.","Vor der geführten Besichtigung des Rathauses haben wir (11 Personen) diesen Ratskelker besucht. Als nicht-Bremer war der Bremer Knipp angesagt. War durchaus interessant und geschmackvoll. Aussen sehr kross und innen (vielleicht ein bisschen zu) weich. Dazu leckere Bratkartoffeln und passend, Senfgurkensalat. Auch für die anderen Begleiter war das Essen ok. Das Ambiente ist natürlich besonders. Jahrhundertealte Weinfassböden mit tollen Schnitzereien. Der Blick in den tiefer liegenden Festsaal war ein kurzer Besuch wert.","Solide und ehrlich bei akzeptablen Preisen","","2023-11-06T08:35:59.772433Z"
2916,4,100.0,25877069,"nils-constantin.hellwig@stud.uni-regensburg.de","","","Pioneer63807824059","augsburg","2023-11-06T08:36:08.786641Z","2023-04-09","de","ca63c88b-a679-478a-8e3a-13ddf5c84da7","","[{""end"":28,""text"":"", wir kommen sehr"",""start"":11,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]","de",7.941,8,5.0,7322855,"SteakManufaktur",885457754,1,"Vielen Dank, wir kommen sehr gerne wieder !","Sehr leckeres Essen und toller Service von Tihomir! Vielen Dank, wir kommen sehr gerne wieder ! 👍🏻","Perfekte Steaks und sehr aufmerksamer Service","","2023-11-06T08:36:08.786661Z"
2086,5,100.0,25877170,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","","Claus M","nürnberg","2023-11-06T08:38:17.960634Z","2023-06-24","de","6a9ccf84-c698-4703-8d7f-e0c8f5fc7443","","","de",128.161,0,1.0,1390048,"Bratwursthäusle",897611287,1,"Ich habe den Biergarten um 21:15 Uhr betreten.","Das Essen kann ich leider nicht bewerten, da mein Besuch in diesem Etablissement schon nach 10 Minuten zu Ende ging. Ich habe den Biergarten um 21:15 Uhr betreten. Eine der Servicekräfte deutete auf die Uhr und teilte mir in einem barschen Tonfall mit, dass man um 22:00 Uhr schließe. Nachdem ich versichert habe, nur ein paar Würstchen zu essen, (was sonst im Bratwursthäusle) durfte ich Platz nehmen.Was in den nächsten 10 Minuten passierte, war gekonntes Ignorieren des Gastes. Daraufhin beschloss ich, dieses Lokal zu ignorieren.","Gekonntes Ignorieren des Gastes","","2023-11-06T08:38:17.960655Z"
2393,6,100.0,25877174,"nils-constantin.hellwig@stud.uni-regensburg.de","","Dresden, Deutschland","Dschesin","bonn","2023-11-06T08:38:23.023850Z","2023-06-28","de","44affd39-c486-4d79-9ecd-bcd0f61e61f0","","","de",3.975,0,2.0,960967,"Brauhaus Bönnsch",898535294,3,"Vorspeise war der Salat auch nicht, sondern kam parallel zum Hauptgang, der leider kalt war.Die Servicekraft war maßlos überfordert.","Wir haben über eine Stunde auf unser Essen warten müssen. Bestellt hatte ich einen Salat aus Melone, Fetakäse und Blattspinat für 16,50€. Den Blattspinat habe ich leider auf dem Teller nicht finden können. Vorspeise war der Salat auch nicht, sondern kam parallel zum Hauptgang, der leider kalt war.Die Servicekraft war maßlos überfordert.","Enttäuschung","Two or more sentences","2023-11-06T08:38:23.023872Z"
210,7,100.0,25877226,"nils-constantin.hellwig@stud.uni-regensburg.de","","","Simi E","hamburg","2023-11-06T08:39:14.408684Z","2023-05-29","de","5f1f954c-c4bc-4c54-9612-526973cf7d62","","","de",50.06,1,3.0,2271294,"Hard Rock Cafe",892418807,6,"Toller Blick über LOC.Der Burger war Medium anstatt wie bestellt well done.","Lange drauf gefreut, sehr enttäuscht. Obwohl Monate vorher reserviert wollte man uns im 1.OG an einen ""Abstelltisch"" mitten im Durchgang setzen. Unten war alles frei. Aber da wollte man dann wohl keinen hinsetzen.. Für nen schnellen Drink wäre es ok gewesen aber nicht zum Essen mit einem 6jährigen Kind. Nach Diskussion, alles auf Englisch obwohl mitten in Hamburg, hat man uns dann auf die Dachterrasse gesetzt. Tolle Lokation. Toller Blick über Hamburg.Der Burger war Medium anstatt wie bestellt well done. Sonst aber sehr lecker, wenn die Soße auch was scharf war, aber das ist ja Geschmackssache. Kindermenü super Preis-Leistung, Getränke ziemlich teuer. Insgesamt war ich ziemlich enttäuscht.. Für den Preis kann man auch woanders gut essen gehen. ","Enttäuscht aber noch ok","Two or more sentences","2023-11-06T08:39:14.408714Z"
1434,8,100.0,25877246,"nils-constantin.hellwig@stud.uni-regensburg.de","","Düsseldorf, Deutschland","Warauchda","leipzig","2023-11-06T08:39:36.339215Z","2022-12-28","de","3bd8e132-4590-4fe0-8685-d0f1bd94de3a","[{""end"":65,""text"":""Bedienung"",""start"":56,""labels"":[""SERVICE-POSITIVE""]},{""end"":26,""text"":""Bierkeller"",""start"":16,""labels"":[""AMBIENCE-POSITIVE""]}]","","de",20.945,24,4.0,2084055,"Ratskeller",873079951,0,"Ein gemütlicher Bierkeller mit freundlicher und flotter Bedienung.","Ein gemütlicher Bierkeller mit freundlicher und flotter Bedienung. Die hauseigenen Biere sind lecker und gelungen, die Speisen gut zubereitet. Tip: Wer nicht reserviert, bekommt keinen Platz ","Besuch lohnt ","","2023-11-06T08:39:36.339236Z"
1439,9,100.0,25877283,"nils-constantin.hellwig@stud.uni-regensburg.de","","Wiesbaden, Deutschland","torstens292","leipzig","2023-11-06T08:40:12.398816Z","2022-12-13","de","44f8071f-17f1-483f-919c-de471982f30e","","[{""end"":28,""text"":""rundherum bestens"",""start"":11,""labels"":[""SERVICE-POSITIVE-no-phrase""]}]","de",35.015,25,5.0,2084055,"Ratskeller",871597119,1,"Wir wurden rundherum bestens bedient.","Anlässlich unserer Weihnachtsfeier waren wir im Ratskeller in Leipzig. Wir wurden rundherum bestens bedient. Das Essen war geschmacklich top und eigentlich viel zu viel. In jedem Fall eine Empfehlung und ein Muss bei einem Leipzigbesuch. Jedem Teilnehmer hat es gefallen.","Wunderbare Weihnachtsfeier","","2023-11-06T08:40:12.398839Z"
