,id,text,model,split
0,428dd551-768a-46df-b02b-0caaae0e67aa,"Wir würden wiederkommen, aber das Ambiente braucht einen Aufschmuck.",Llama13B,0
1,64bb0866-0dcd-4aee-90ce-940b6f30a13d,Wir würden wiederkommen.,Llama13B,0
2,fc2c5d2e-f3f6-4d9b-8d45-83752f269b4b,Das Essen war super.,Llama13B,0
3,1af80b27-c80c-4bba-8e31-77a380269448,"War zwar viel los, dennoch hat das Personal nicht an Höflichkeit und Spaß verloren.",Llama13B,0
4,d7219431-3064-472d-9af5-5bca44753987,"Es war Nicht schlecht, nicht gut.",Llama13B,0
5,46b8b439-8ea1-4f13-8bd6-6bf8e96dd905,Das Essen war super und die Preise sehr günstig.,Llama13B,1
6,7c6ad582-d134-4b72-b0a5-7178e944e447,"LOC, eine beeindruckende Kuchen- und Tortenauswahl.",Llama13B,1
7,3dd7b2e8-be6b-4a6f-b135-3d59f6fc39c3,Unser Kellner war sehr nett und zuvorkommend.,Llama13B,1
8,48672f9b-0222-4836-aa7a-d50372c953a2,Wir fanden den Eindruck äußerst schlimm und konnten kaum etwas schlechtere erwarten.,Llama13B,1
9,cc8a6bb0-6557-43a2-9014-4a830e7ef273,Einfach okay und unseren Geldverschwendung.,Llama13B,1
10,abd7b5d8-2f13-4ad8-8ef1-9b14fcc65a9e,Hinzu kommt ein preiswertes Menü und eine liebenswerte Kellnerin.,Llama13B,2
11,8b458abd-0e45-4ca1-b4a3-901e39d8ea06,Unbedingt fernbleiben!,Llama13B,2
12,92c5eefc-8824-407f-a82f-ac02219cd45f,Unbedingt fernbleiben,Llama13B,2
13,078e4fb3-f6fa-4bb2-a7dd-2c962838bc85,Wir würden wiederkommen.,Llama13B,2
14,2f2d7965-9ef9-4f63-b3b1-35fd7a1e2bbc,"Niemand hatte den Tisch im Blick, keiner fühlte sich zuständig.",Llama13B,2
15,c5c7ffd0-3198-4ef1-b019-16b89f5d1bac,"Wir sind maximal enttäuscht und werden uns überlegen, ob wir wirklich nochmal hingehen.",Llama13B,3
16,65d2fa10-ce51-4144-809d-aaa42b25fcf8,Das war schön.,Llama13B,3
17,c36c70ec-f651-4529-8eaa-350378938153,"Schade, weil ich es sehr gern gerne hätte.",Llama13B,3
18,b66088e2-edf4-4189-90d4-d02224d7e193,Das Essen war gut und das Preis/Leistungsverhältnis auch.,Llama13B,3
19,cecf1ffc-439c-4e50-a672-3e9252c4e349,Das Essen war super.,Llama13B,3
20,0beb32c9-bfc4-43d2-84e9-df287d04f83d,"Wie wir das letzte Mal hier gewesen sind, war der Service schlecht.",Llama13B,4
21,ee57a16c-719e-4939-a955-8921990b0b7d,"LOC, eine beeindruckende Kuchen- und ein Service.",Llama13B,4
22,26e5639f-b7ef-4ed5-9fe1-b67b7271182f,"Waren 2x dort, da uns das Ambiente eigentlich gut gefällt.",Llama13B,4
23,22381b7e-f109-4c7f-836b-43b88a2fb12f,"Waren 2x dort, da uns das Ambiente eigentlich gut gefällt.",Llama13B,4
24,d87d6662-a1e8-4118-b1af-7df49875658d,Die Kosten waren sehr günstig.,Llama13B,4
