id	text	HOTEL#HAUPT	ZIMMER#SAUBERKEIT	ZIMMER#HAUPT	HOTEL#PREIS	LAGE#HAUPT	ESSEN&TRINKEN#HAUPT	ESSEN&TRINKEN#RUHE	ZIMMER#RUHE	HOTEL#STYLE	HOTEL#SAUBERKEIT	SERVICE#HAUPT	ESSEN&TRINKEN#PREIS	ZIMMER#STYLE	LAGE#PREIS	LAGE#RUHE	ESSEN&TRINKEN#STYLE	ZIMMER#PREIS	SERVICE#SAUBERKEIT
0	Wir buchten 3 Übernachtungen mit Frühstück und Donauschifffahrt Weltenburg als Gesamtpaket	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Zimmer super, sauber und täglich gereinigt	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Dusche Vorsicht Rutschgefahr!!! Parkplatz direkt kostenfrei neben dem Hotel	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Kleiner Teich neben dem Hotel (Enten füttern Verboten)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Frühstück auch ok	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5	Abends an der Bar konnte man was trinken mit Wartezeiten	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	Alles soweit ok	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Sehr laute Unterhaltung beim Frühstück	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8	Man konnte alles über den gesamten Raum verstehen was am anderen Ende posaunt wurde und darüber hinaus um mehrere Ecken bis zum Aufzug und Treppenhaus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9	Abends wieder sehr laut in der kleinen Bar	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10	Da Stühle nicht reichten wurde diese aus dem Essbereich geholt und in den Eingangsbereich gestellt und dazu	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
11	Hotel sauber, Frühstück gut und kostenloser Parkplatz direkt nebenan	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
12	Leider fußläufig sehr weit von der Innenstadt weg (45 Minuten) und die Umgebung (Gewerbepark) ist natürlich auch alles andere als ansprechend	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Leider gibt es im Hotel auch keine Möglichkeit, zu Abend zu essen, man ist auf die Fast Food Ketten im Gewerbegebiet angewiesen	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14	Sonst aber kein schlechtes Hotel für eine Durchreise oder wenn man geschäftlich unterwegs ist	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	Eine Nacht auf einer Langstreckenrennradtour verbracht	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Der korrekt Name des Hotels müsste im GEWERBE-Park lauten. Dort befindet sich das Hotel	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17	Abends beim Check-in vollkommen überforderte, gerade angelernte und alleine den Laden inkl	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
18	Zimmer sauber, Fahrstuhl extrem langsam (Treppen empfehlenswert)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Frühstück NICHT i.O., da man für EUR 17 durchaus erwarten kann, dass die Küche pochierte Eier zubereiten kann	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
20	Wir waren drei Nächte in einem Business Zimmer	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Es entsprach genau der Beschreibung, ausser dass Seeblick fehlte	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
22	Besonders gefallen hat uns das Design sowohl des Zimmers als auch der allgemeinen Räume	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
23	Überall findet man schöne Posters und Wandbilder von Regensburg	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
24	Die Farben sind gut abgestimmt	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
25	Die Lampen sind modern	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
26	Das Zimmer war gross, der TV auch, es könnten aber mehr Programme vorhanden sein	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27	Uns hat ARTE und ein französischer Sender gefehlt	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	Wir konnten schon um 12:30 einchecken, in anderen Hotels verlangte man teilweise Zusatzgebühr	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
29	Das Frühstück war ausreichend, der Kaffee sehr gut	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
30	WiFi war schnell	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Die kostenlosen Hotelparkplätze waren meist besetzt, aber in Umgebung gibt es genügend Alternativen	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
32	Das Zimmer war ordentlich, ausreichend groß und sauber	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	Es war trotz über 30Grad draußen um Zimmer angenehm	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	Das Frühstück war ausreichend gut aber nichts besonderes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
35	Besonders zu erwähnen ist das aufmerksame und sehr freundliche Personal sowohl am Empfang also auch beim Frühstück	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
36	das Hotel liegt in einem kleinen Gewerbegebiet mit ausreichend Parkplatz und EInkaufsmöglichkeiten	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
37	Der Empfang ist überaus freundlich und das Zimmer ist nett, freundlich mit allem was man braucht ausgestattet	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
38	Nur die Sauberkeit ist weiter ausbaufähig	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
39	Das Hotel liegt zwar etwas außerhalb, die Innenstadt ist aber mit öffentlichen Verkehrsmitteln (auch fußlaüfig) sehr gut zu erreichen	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
40	Kostenlose Parkplätze sind ausreichend vorhanden	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	Die Zimmer sind sehr geräumig und das Personal sehr zuvorkommend	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
42	Wir haben das Hotel zu Corona-Zeiten besucht, sodass uns nicht der volle Service zur Verfügung stand	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
43	So durften unsere Zimmer während unseres Aufenthalts nicht gesäubert werden, und das Frühstücksbuffet durfte ebenfalls nicht angeboten wurde	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
44	Die Einschränkung wurden aber sehr professionell gemeistert	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
45	So konnten wir zwischen einem Teller-Frühstück, das uns im Frückstücksraum serviert wurde und einem Lunchpaket wählen	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
