trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores
0	3e-05	18	32	658.7952604293823	0.11855331063270569	0.038746666666666665	0.6072	0.7448959565065376	0.4893867077870449	0.7064546981044574	[0.19095970695970696, 0.845870022229834, 0.7442217912806147, 0.7727834484689958, 0.40523809523809523, 0.08888888888888888, 0.4271073513017248, 0.30742474916387963, 0.8715700504473972, 0.2543281280123385, 0.4610108884250761, 0.25230061869649967, 0.9081920922383351, 0.8109047854542861, 0.0]
1	4e-05	3	8	236.95224499702454	0.17502795159816742	0.054426666666666665	0.3984	0.5224191105294007	0.24194016340231378	0.4652063066696127	[0.0, 0.6435545643859337, 0.5462178935047153, 0.5012271062271062, 0.021052631578947368, 0.0, 0.0, 0.0, 0.6526810238034277, 0.0, 0.0, 0.0, 0.7042762136874728, 0.5600930178471026, 0.0]
2	5e-05	13	8	993.1129629611969	0.22493628710508345	0.07328	0.14679999999999999	0.19374515787986835	0.1207430419605255	0.17018488888627833	[0.041379310344827586, 0.182010582010582, 0.16666666666666669, 0.15489361702127663, 0.05405405405405404, 0.05333333333333333, 0.10526315789473684, 0.08484848484848485, 0.17105263157894735, 0.08333333333333334, 0.12631578947368421, 0.10909090909090909, 0.3128218884120172, 0.16608187134502925, 0.0]
3	5e-05	5	8	389.2798218727112	0.23099610209465027	0.07490666666666666	0.11279999999999998	0.14402917046490427	0.07996135112281573	0.13053596935170567	[0.030769230769230764, 0.1694915254237288, 0.15529411764705883, 0.15757575757575756, 0.041379310344827586, 0.0, 0.0, 0.05, 0.16, 0.023529411764705882, 0.06, 0.0, 0.18616352201257863, 0.16521739130434782, 0.0]
4	3e-05	18	32	661.0047078132629	0.11739614754915237	0.03818666666666666	0.6112	0.7490285626279715	0.4983701243724547	0.7126670253725995	[0.1683956043956044, 0.846378810388946, 0.7545198942616447, 0.7772535277768544, 0.42931216931216926, 0.08888888888888888, 0.4023454465398199, 0.3874247491638796, 0.8719751625766472, 0.2511702332754964, 0.47529660271079044, 0.2978888539906174, 0.9122946563408991, 0.8124072659645625, 0.0]
5	3e-05	19	32	694.9636173248291	0.11681759357452393	0.03778666666666667	0.6192	0.7521323010261529	0.5163412646574088	0.7184354968817088	[0.23331564986737402, 0.8474691237641622, 0.75594941874735, 0.7794132503417509, 0.4241409266409266, 0.22023809523809526, 0.46844070961718015, 0.322571197641801, 0.8795169265711003, 0.35628458498023713, 0.4721981721981722, 0.2635213675213675, 0.9178258643797882, 0.8042336823518248, 0.0]
6	2e-05	13	16	651.3610582351685	0.1173686295747757	0.038	0.6108	0.7483524813453712	0.4912327453553281	0.7089763345535424	[0.12892836735753987, 0.8575373368727602, 0.7527947011615682, 0.7633237319553114, 0.4383035343035343, 0.1619047619047619, 0.24722222222222223, 0.30762931642001407, 0.8783992916613481, 0.35180544945250825, 0.4836974789915967, 0.2653577283756312, 0.9237058083537235, 0.8078814512974025, 0.0]
7	2e-05	6	16	309.2935907840729	0.1573645442724228	0.04511999999999999	0.4984	0.6684183270169888	0.30374075155248936	0.5930435574063246	[0.0, 0.8255976054109153, 0.5912208532457092, 0.679703453085066, 0.0, 0.0, 0.0, 0.0, 0.8229478492722551, 0.0, 0.0, 0.0, 0.9002921359718801, 0.7363493763015141, 0.0]
8	2e-05	13	16	659.5598256587982	0.11709091067314148	0.03749333333333334	0.6155999999999999	0.7519318288271577	0.5017636874493032	0.7149237716170089	[0.15814575866188768, 0.8601209926888312, 0.7538594251738966, 0.7653248113757456, 0.42647744734701254, 0.1619047619047619, 0.2757936507936508, 0.35829598308668076, 0.878263184330996, 0.366524064171123, 0.5156302521008403, 0.2653577283756312, 0.923834674333105, 0.816922577395385, 0.0]
9	3e-05	16	8	1214.8536603450775	0.14798100143671036	0.0488	0.5016	0.5998155203731452	0.4485014903082026	0.5859673260106588	[0.24970776666292008, 0.6693028520746684, 0.5883928009426989, 0.6199483235545182, 0.3688816738816739, 0.3376702508960573, 0.4234644582470669, 0.23457556935817805, 0.6929233945215854, 0.3767701863354037, 0.416174164000251, 0.35719987599783, 0.7386594529761809, 0.6538515851740062, 0.0]
10	4e-05	9	32	335.969021320343	0.1420678585767746	0.042346666666666664	0.5399999999999999	0.704687002203231	0.33131825978521073	0.6279136014054882	[0.0, 0.8335218318944152, 0.6958497494113642, 0.7368576246424607, 0.05217391304347826, 0.0, 0.0, 0.07282051282051283, 0.8468381391188409, 0.0, 0.03333333333333334, 0.0, 0.9120610443160351, 0.7863177481977205, 0.0]
11	2e-05	20	16	996.0019836425781	0.1145441472530365	0.03818666666666667	0.6208	0.7526779019006803	0.5389745148360156	0.7261060212725126	[0.20017204301075267, 0.8367981613211628, 0.7518105284619041, 0.775647055361181, 0.4203208285966906, 0.18625258799171843, 0.5647712418300654, 0.3779404362980608, 0.8671341135682841, 0.45142264752791067, 0.5537465914747861, 0.36283723196881085, 0.9178917692244944, 0.8178724859044129, 0.0]
12	2e-05	20	32	730.831178188324	0.12318351864814758	0.04053333333333334	0.584	0.7307461349272908	0.4620652014215734	0.6901405853271203	[0.13874028065332414, 0.843835355899991, 0.7540341566488424, 0.7532173470420105, 0.3891698759092854, 0.08888888888888888, 0.304047619047619, 0.396770665063348, 0.8562809609132387, 0.23757575757575755, 0.31456950067476386, 0.16534798534798534, 0.8968023300429921, 0.7916972976155543, 0.0]
13	3e-05	20	16	1005.3146150112152	0.14585112631320954	0.04837333333333334	0.4976	0.5996923732688477	0.4543647536005184	0.5846982375550862	[0.2284965034965035, 0.6575532775518237, 0.579999047573694, 0.6192653223307312, 0.396859796550199, 0.34977034559643255, 0.4629554655870445, 0.3229135615342512, 0.6920052872259573, 0.38629148629148624, 0.4012987012987013, 0.33837320574162677, 0.733959181527598, 0.6457301217017284, 0.0]
14	3e-05	17	32	624.0679936408997	0.11963191032409667	0.0396	0.6043999999999999	0.7409364052896257	0.49906042587233	0.705314880707792	[0.1287706146926537, 0.8403519157531472, 0.7501459230587508, 0.7761441490923465, 0.438238068289002, 0.17101449275362318, 0.45488888888888884, 0.289286359530262, 0.8612931587428232, 0.296231884057971, 0.477839401977333, 0.3012220722747038, 0.9118766830535797, 0.788602775919865, 0.0]
15	2e-05	15	16	757.3336005210876	0.11410338282585145	0.037573333333333334	0.6155999999999999	0.7528180682881392	0.518828364061573	0.7203786520734421	[0.17682657843948166, 0.8414848813844336, 0.725730562547689, 0.7747092628625729, 0.47018602312719954, 0.09915966386554623, 0.45391919191919194, 0.4263833069459668, 0.8756552594504449, 0.26937799043062205, 0.5707313376278893, 0.3651923076923077, 0.9215755268412364, 0.8114935677890133, 0.0]
16	2e-05	15	16	762.8931295871735	0.11416981220245362	0.03728	0.6208	0.7547974350984766	0.5190650961628849	0.722536023837237	[0.17549324510614833, 0.8445910368059832, 0.7293170013260583, 0.7837211205700829, 0.46940170940170933, 0.07058823529411765, 0.4322525252525253, 0.46924044980310964, 0.8772535013843175, 0.3181818181818182, 0.5507313376278893, 0.3418589743589744, 0.918424588432566, 0.8049208988979716, 0.0]
17	2e-05	15	16	757.5036413669586	0.11416981220245362	0.03728	0.6208	0.7547974350984766	0.5190650961628849	0.722536023837237	[0.17549324510614833, 0.8445910368059832, 0.7293170013260583, 0.7837211205700829, 0.46940170940170933, 0.07058823529411765, 0.4322525252525253, 0.46924044980310964, 0.8772535013843175, 0.3181818181818182, 0.5507313376278893, 0.3418589743589744, 0.918424588432566, 0.8049208988979716, 0.0]
18	2e-05	10	16	508.445054769516	0.12638382762670516	0.03992	0.568	0.7262266526287048	0.4064141297495153	0.6668957194076246	[0.03666666666666667, 0.8475803193137372, 0.7416506149991817, 0.750867872694632, 0.3223316912972085, 0.028571428571428574, 0.2549971767363072, 0.17076784101174347, 0.851716497274451, 0.025, 0.31841015582434345, 0.03478260869565217, 0.9142599773519093, 0.7986090958054686, 0.0]
19	2e-05	14	16	707.9959032535553	0.11562325209379196	0.03736	0.6148	0.7541002347201736	0.5067842271425669	0.7169663061817985	[0.14576365663322186, 0.8475996598560714, 0.7505796326021045, 0.7733575720000591, 0.3724109933828604, 0.09090909090909091, 0.46761904761904766, 0.37563449470426213, 0.8851988673265268, 0.3175757575757575, 0.4948717948717949, 0.3384715284715285, 0.9172083836565073, 0.8245629275296691, 0.0]
