id,second_annotator_comment,annotation,aspect_available_without_judgement,text,model,few_shot_condtion,split
7c58ddc2-e88f-4792-8200-b5df69db0685,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
",,Das Restaurant hat eine tolle Location.,Llama3_70B,random,0
14e99323-54fd-450c-9b97-0385439c126c,,"('AMBIENCE', 'NEUTRAL', 'Atmosphäre')
('SERVICE', 'NEGATIVE', 'Bedienung')
",,"Die Atmosphäre war ok, die Bedienung eher nicht.",Llama3_70B,random,0
fd18b2ee-f488-4500-b2e7-657d10a33593,,"('PRICE', 'NEGATIVE', 'Essen')
",,"Die Preise, die für ein solches Essen verlangt werden sind völlig unangemessen.",Llama3_70B,random,0
fabc23ce-909c-4658-9736-c3b98f77dd3f,,"('GENERAL-IMPRESSION', 'NEUTRAL', 'Restaurant')
",,Das Restaurant ist okay.,Llama3_70B,random,0
2ad10529-0f17-48a2-a000-d6b50e4fb2ee,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
",,"Ein Restaurant, das ich sehr gerne empfehlen kann!",Llama3_70B,random,0
07801327-3aaa-4159-8700-4fcbfbbb8825,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
('AMBIENCE', 'POSITIVE', 'Restaurant')
('SERVICE', 'POSITIVE', 'Personal')
('FOOD', 'POSITIVE', 'Essen')
",,Wir hatten einen sehr schönen Abend in einem gemütlichen Restaurant mit freundlichem Personal und gutem Essen.,Llama3_70B,random,0
342eb0fc-1e7f-4c2f-9ec6-93a9ef291c0d,,"('AMBIENCE', 'NEUTRAL', 'Atmosphäre')
",,"Die Atmosphäre ist eher rustikal, was aber nicht stört. ",Llama3_70B,random,0
8a62ceeb-76f0-42de-b46d-ed1b724ea845,,"('SERVICE', 'POSITIVE', 'Service')
('FOOD', 'NEGATIVE', 'Speisen')
('GENERAL-IMPRESSION', 'NEGATIVE', 'Restaurant')
",,"Der Service war gut, aber die Speisen waren so schlecht, dass wir uns nicht mehr im Restaurant aufhalten wollten.",Llama3_70B,random,0
d332a010-1f2c-4eb6-acc5-c7412bc0ebb5,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,Das Ambiente ist sehr gemütlich.,Llama3_70B,random,0
0e4aa879-fbff-4dc9-a0cf-ea75e46b4499,,"('SERVICE', 'NEGATIVE', 'Bedienung')
('SERVICE', 'NEGATIVE', 'Kellner')
",,"Die Bedienung ist sehr schlecht, die Kellner sind unhöflich und unfreundlich.",Llama3_70B,random,0
503cbc5b-7e50-4a85-a8f9-289fb5ef0dba,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
('FOOD', 'POSITIVE', 'Kartoffeln')
('SERVICE', 'POSITIVE', 'Bedienung')
",,"Das Restaurant ist gut, die Kartoffeln sind lecker und die Bedienung ist freundlich.",Llama3_70B,random,0
