"Unnamed: 0","agreement","annotation_id","annotator","aspect_available_without_judgement","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","updated_at"
0,100.0,30077028,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:31:04.298487Z","random","4244c002-08ad-42dd-9eb2-2051885d355f","[{""end"":30,""text"":""Preis-Leistungs-Verhältnis"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]","",10.329,"GPT-3",5,"Das Preis-Leistungs-Verhältnis ist nicht angemessen.","2024-02-01T08:31:04.298508Z"
1,100.0,30076910,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","2024-02-01T08:29:45.800319Z","random","288889e5-741e-47d6-a570-ea73ea531664","[{""end"":56,""text"":""Essens"",""start"":50,""labels"":[""PRICE-NEGATIVE""]}]","",31.088,"GPT-3",5,"Die Preise sind viel zu hoch für die Qualität des Essens.","2024-02-01T08:30:34.950527Z"
2,100.0,30077039,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:31:11.642558Z","random","f9a1c321-979b-41f0-855f-1349e327f1e2","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",6.537,"GPT-3",5,"Das Essen war ausgezeichnet.","2024-02-01T08:31:11.642576Z"
3,100.0,30080018,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:06:22.516251Z","random","cefd4c62-9714-4d65-a224-391a05f71dd9","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]},{""end"":86,""text"":""Speisen"",""start"":79,""labels"":[""PRICE-NEGATIVE""]}]","",22.605,"GPT-3",5,"Der Service war in Ordnung, aber die Preise waren zu hoch für die Qualität der Speisen.","2024-02-01T09:06:22.516273Z"
4,100.0,30077939,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:41:12.579341Z","random","d62e25c1-e8cc-4c83-b2e6-445e161baa68","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":61,""text"":""Preis-Leistungs-Verhältnis"",""start"":35,""labels"":[""PRICE-POSITIVE""]}]","",25.729,"GPT-3",5,"Das Essen war wirklich gut und das Preis-Leistungs-Verhältnis stimmt.","2024-02-01T08:41:12.579362Z"
5,100.0,30080031,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:06:30.641247Z","random","40008993-880c-445d-a867-3d3b2f0895b2","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",7.306,"GPT-3",5,"Das Ambiente war enttäuschend und nicht gemütlich.","2024-02-01T09:06:30.641266Z"
6,100.0,30077953,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:41:24.688173Z","random","5b87ba8d-faf8-4c06-af81-770f2af56a1c","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":50,""text"":""Essen"",""start"":45,""labels"":[""FOOD-POSITIVE""]}]","",11.172,"GPT-3",5,"Das Restaurant ist zwar etwas laut, aber das Essen ist wirklich gut.","2024-02-01T08:41:24.688202Z"
7,100.0,30080047,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:06:40.342746Z","random","8bc9f9a3-8fca-4e86-87e7-0014dd41c7b7","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",8.5,"GPT-3",5,"Der Service war sehr zuvorkommend und freundlich.","2024-02-01T09:06:40.342769Z"
8,100.0,30080071,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:06:56.831885Z","random","e2d4aa9b-57ae-43f0-9169-1c9de378436d","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",15.596,"GPT-3",5,"Das Ambiente war enttäuschend und nicht gemütlich.","2024-02-01T09:06:56.831902Z"
9,100.0,30080083,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:07:03.074903Z","random","16defce4-362e-4c7f-adaa-a164ed2474fa","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]}]","",5.423,"GPT-3",5,"Der Service war in Ordnung.","2024-02-01T09:07:03.074921Z"
10,100.0,30077071,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:31:40.193256Z","random","586c09ae-f005-47ba-8732-2aa13f429c8f","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",9.094,"GPT-3",5,"Die Preise waren angemessen.","2024-02-01T08:31:40.193274Z"
11,100.0,30077964,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:41:32.787168Z","random","db596d6b-0c29-48f7-b80f-d6529719c140","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",6.998,"GPT-3",5,"Das Essen war okay, aber nichts Besonderes.","2024-02-01T08:41:32.787191Z"
12,100.0,30080098,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:07:15.976695Z","random","13fc4abb-e09d-4026-85b5-61d3c2452177","[{""end"":44,""text"":""Atmosphäre"",""start"":34,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":60,""text"":""Service"",""start"":53,""labels"":[""SERVICE-NEUTRAL""]}]","",12.049,"GPT-3",5,"Das Restaurant hat eine angenehme Atmosphäre und der Service war in Ordnung.","2024-02-01T09:07:15.976715Z"
13,100.0,30080111,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:07:22.893327Z","random","d1fb231a-bd51-4eea-bf58-1dc996480e68","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]}]","",5.667,"GPT-3",5,"Die Atmosphäre war okay.","2024-02-01T09:07:22.893349Z"
14,100.0,30080124,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:07:33.814883Z","random","c43ea953-4ea0-4d90-b14c-bf2b876526e8","[{""end"":45,""text"":""Terrasse"",""start"":37,""labels"":[""AMBIENCE-POSITIVE""]}]","",9.876,"GPT-3",5,"Das Restaurant hat eine wunderschöne Terrasse.","2024-02-01T09:07:33.814905Z"
15,100.0,30080135,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:07:42.330398Z","random","2e8580dc-dbd5-49de-b21d-c13786fb7b35","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",7.682,"GPT-3",5,"Das Ambiente war sehr angenehm.","2024-02-01T09:07:42.330416Z"
16,100.0,30077983,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:41:43.314329Z","random","e1a37814-5b3d-4425-9bbe-be7e9de6ee4f","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]},{""end"":47,""text"":""Essen"",""start"":42,""labels"":[""PRICE-NEGATIVE""]}]","",9.406,"GPT-3",5,"Der Service war sehr unfreundlich und das Essen viel zu teuer.","2024-02-01T08:41:43.314351Z"
17,100.0,30078006,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:41:57.089200Z","random","66b93f3a-7246-442c-b7a6-489a2b1069f2","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":41,""text"":""Preise"",""start"":35,""labels"":[""PRICE-NEGATIVE""]}]","",12.537,"GPT-3",5,"Das Essen war enttäuschend und die Preise zu hoch.","2024-02-01T08:41:57.089220Z"
18,100.0,30076930,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:29:55.085427Z","random","6ad7ffa9-cf15-44f5-a39e-eeccf0f80422","[{""end"":56,""text"":""Essens"",""start"":50,""labels"":[""PRICE-NEGATIVE""]}]","",13.71,"GPT-3",5,"Die Preise sind viel zu hoch für die Qualität des Essens.","2024-02-01T08:30:44.070728Z"
19,100.0,30078032,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:42:12.749205Z","random","7551cb67-5649-4f73-9942-f043ff0eee76","[{""end"":44,""text"":""Atmosphäre"",""start"":34,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":55,""text"":""Essen"",""start"":50,""labels"":[""FOOD-NEUTRAL""]},{""end"":85,""text"":""Preise"",""start"":79,""labels"":[""PRICE-POSITIVE""]}]","",14.476,"GPT-3",5,"Das Restaurant hat eine angenehme Atmosphäre, das Essen war in Ordnung und die Preise waren fair.","2024-02-01T08:42:12.749223Z"
20,100.0,30077213,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:33:27.494490Z","random","b663d83f-6551-435d-9ada-dec604f3d70c","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEUTRAL""]}]","",22.043,"GPT-3",5,"Das Restaurant war okay, aber nichts Besonderes.","2024-02-01T08:33:27.494508Z"
21,100.0,30080297,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:09:53.909927Z","random","468c764e-94e8-42f1-8b0d-e3f38a5a7a2e","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]},{""end"":72,""text"":""Restaurant"",""start"":62,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",130.671,"GPT-3",5,"Der Service war sehr schlecht, aber insgesamt war ich mit dem Restaurant zufrieden.","2024-02-01T09:09:53.909949Z"
22,100.0,30077329,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:34:38.142409Z","random","d1993db7-ebd0-40d1-9bc1-3478277025cd","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":64,""text"":""Preis-Leistungs-Verhältnis"",""start"":38,""labels"":[""PRICE-POSITIVE""]}]","",9.891,"GPT-3",5,"Das Essen war wirklich lecker und das Preis-Leistungs-Verhältnis stimmt.","2024-02-01T08:34:38.142430Z"
23,100.0,30080317,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:10:14.395629Z","random","ba82bc8f-59b1-4663-9b82-ed03be4c15e5","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":60,""text"":""Personal"",""start"":52,""labels"":[""SERVICE-POSITIVE""]}]","[{""end"":114,""text"":""mein Eindruck"",""start"":101,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",19.622,"GPT-3",5,"Das Restaurant ist wunderschön eingerichtet und das Personal ist sehr freundlich, aber insgesamt war mein Eindruck eher negativ.","2024-02-01T09:10:14.395647Z"
24,100.0,30078060,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:42:30.730147Z","random","3f070936-5063-4ef4-a6f7-e991a5bc05cf","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]},{""end"":48,""text"":""Preise"",""start"":42,""labels"":[""PRICE-POSITIVE""]},{""end"":81,""text"":""Essen"",""start"":76,""labels"":[""FOOD-NEUTRAL""]}]","",21.529,"GPT-3",5,"Der Service war sehr unfreundlich und die Preise waren angemessen, aber das Essen war durchschnittlich.","2024-02-01T08:42:38.847838Z"
25,100.0,30078154,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:43:19.923594Z","random","b6b5cb3f-4d6d-4d72-98ba-780c81ba5ac6","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",36.649,"GPT-3",5,"Das Essen war okay, aber nichts Besonderes.","2024-02-01T08:43:19.923620Z"
26,100.0,30080341,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:10:30.695613Z","random","b2370c6a-d821-466d-8411-15ad97a3d9f2","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",15.397,"GPT-3",5,"Das Ambiente war enttäuschend und nicht gemütlich.","2024-02-01T09:10:30.695632Z"
27,100.0,30078177,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:43:29.550760Z","random","6c30f02b-9f4d-4923-b611-c77b887a1cf4","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":40,""text"":""Service"",""start"":33,""labels"":[""SERVICE-NEUTRAL""]}]","",8.738,"GPT-3",5,"Das Essen war sehr gut, aber der Service war mal okay, mal schlecht und dann wieder okay.","2024-02-01T08:43:29.550779Z"
28,100.0,30080365,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:10:43.750866Z","random","e4149fc1-8cbe-45f7-9eb0-ca5a7374cec5","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]","",12.189,"GPT-3",5,"Die Preise sind viel zu hoch für die gebotene Qualität.","2024-02-01T09:10:43.750894Z"
29,100.0,30078186,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:43:34.088942Z","random","82b2fd0a-3ebd-40ae-8119-f380965078d9","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",3.69,"GPT-3",5,"Das Essen war okay.","2024-02-01T08:43:34.088960Z"
30,100.0,30078204,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:43:44.005434Z","random","62841f51-c567-4c8b-ac7b-71367ea391f3","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-POSITIVE""]},{""end"":42,""text"":""Service"",""start"":35,""labels"":[""SERVICE-POSITIVE""]}]","",8.56,"GPT-3",5,"Die Preise sind angemessen und der Service ist gut.","2024-02-01T08:43:44.005452Z"
31,100.0,30080393,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","2024-02-01T09:11:10.180298Z","random","8308622b-a197-42c8-aa3d-026a619319e6","[{""end"":30,""text"":""Ambiente"",""start"":22,""labels"":[""AMBIENCE-NEUTRAL""]}]","",25.556,"GPT-3",5,"Für den Preis war das Ambiente leider nur durchschnittlich.","2024-02-01T09:11:10.180319Z"
32,100.0,30078236,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:44:05.715943Z","random","5db122ba-e339-4c7a-9a34-5f6e4d085823","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":46,""text"":""Preise"",""start"":40,""labels"":[""PRICE-POSITIVE""]}]","[{""end"":91,""text"":""war der Eindruck"",""start"":75,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",20.089,"GPT-3",5,"Das Ambiente war enttäuschend, aber die Preise waren angemessen, insgesamt war der Eindruck nicht gut.","2024-02-01T08:44:05.715961Z"
33,100.0,30080440,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:11:45.219252Z","random","1307daa7-06c1-409a-9c20-0c0b98cf2ecc","[{""end"":12,""text"":""Gerichte"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",33.922,"GPT-3",5,"Die Gerichte waren köstlich.","2024-02-01T09:11:45.219274Z"
34,100.0,30080455,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:11:56.264365Z","random","b3bcb565-5cd1-4b5f-a2e1-931757b10e5a","","[{""end"":23,""text"":""ein toller Abend"",""start"":7,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",10.21,"GPT-3",5,"Es war ein toller Abend und wir waren rundum zufrieden.","2024-02-01T09:11:56.264389Z"
35,100.0,30080462,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:12:00.713328Z","random","413ea5c3-cca5-424f-afa8-81bc1fe63ae6","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",3.576,"GPT-3",5,"Das Restaurant war großartig!","2024-02-01T09:12:00.713352Z"
36,100.0,30080472,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:12:10.807633Z","random","d4b95553-c2cb-4a35-9a4d-6b426bbd2b10","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEUTRAL""]}]","",8.922,"GPT-3",5,"Das Restaurant hinterließ bei mir einen neutralen Eindruck.","2024-02-01T09:12:10.807652Z"
37,100.0,30080483,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:12:17.483607Z","random","3e123151-4435-4ff7-8d93-374eff79f68e","","[{""end"":11,""text"":""okay"",""start"":7,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",5.869,"GPT-3",5,"Es war okay.","2024-02-01T09:12:17.483625Z"
38,100.0,30080501,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:12:26.841757Z","random","d864f309-ae80-4aa7-810e-cb69db1400a5","","[{""end"":42,""text"":""ein gelungener Abend"",""start"":22,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",8.518,"GPT-3",5,"Alles in allem war es ein gelungener Abend.","2024-02-01T09:12:26.841774Z"
39,100.0,30080519,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:12:35.472039Z","random","a465d2ef-dffb-4d9e-88ad-76162806c153","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]","",7.79,"GPT-3",5,"Die Preise sind definitiv zu hoch.","2024-02-01T09:12:35.472059Z"
40,100.0,30078258,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:44:15.179697Z","random","4cc01f6e-6d2f-4edd-8037-1ed0b76ed818","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":42,""text"":""Getränke"",""start"":34,""labels"":[""FOOD-NEUTRAL""]}]","",8.136,"GPT-3",5,"Das Essen war nicht gut, aber die Getränke waren in Ordnung.","2024-02-01T08:44:15.179715Z"
41,100.0,30077338,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:34:44.527789Z","random","65a6b3c1-f5f6-4774-afa6-a9dfb4cd3033","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":40,""text"":""Preise"",""start"":34,""labels"":[""PRICE-POSITIVE""]}]","",5.226,"GPT-3",5,"Das Essen war sehr lecker und die Preise angemessen.","2024-02-01T08:34:44.527812Z"
42,100.0,30080568,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T09:13:04.132492Z","random","e7eba02a-f694-43eb-918d-a315c8809ebf","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]}]","",27.807,"GPT-3",5,"Das Ambiente war weder besonders gut noch schlecht.","2024-02-01T09:13:04.132515Z"
43,100.0,30078275,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-02-01T08:44:26.399588Z","random","8b481eec-f1ad-4a39-bf51-fce3013505fb","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",10.252,"GPT-3",5,"Das Essen war okay.","2024-02-01T08:44:26.399605Z"
