"Unnamed: 0","agreement","annotation_id","annotator","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","updated_at"
0,100.0,29558862,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:00:38.882848Z","fixed","07b8593c-50a7-4eaa-8d2a-1843cb0b6d8c","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",5.256,"GPT-3",0,"Das Essen war in Ordnung.","2024-01-20T13:00:38.882878Z"
1,100.0,29559286,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:31:15.431166Z","fixed","c79c8f94-def7-4cd9-858a-1e16306300e8","[{""end"":15,""text"":""Preisniveau"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",11.298,"GPT-3",0,"Das Preisniveau ist angemessen.","2024-01-20T13:31:15.431181Z"
2,100.0,29559289,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:31:28.128317Z","fixed","6387a473-3da9-4cd2-a453-39a0ce8206b0","[{""end"":11,""text"":""Gericht"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",11.872,"GPT-3",0,"Das Gericht war okay, aber nicht besonders beeindruckend.","2024-01-20T13:31:28.128338Z"
3,100.0,29559293,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:31:38.367786Z","fixed","5f64985f-6382-4e1c-a3ad-e1f535d2a80b","[{""end"":15,""text"":""Einrichtung"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]}]","",9.475,"GPT-3",0,"Die Einrichtung des Restaurants ist durchschnittlich.","2024-01-20T13:31:38.367808Z"
4,100.0,29559138,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:19:39.612654Z","fixed","9d1a059d-cffd-4c48-a5e9-08039c251b0c","[{""end"":52,""text"":""Atmosphäre"",""start"":42,""labels"":[""AMBIENCE-NEUTRAL""]}]","",8.484,"GPT-3",0,"Das Restaurant hat eine durchschnittliche Atmosphäre.","2024-01-20T13:19:39.612669Z"
5,100.0,29558798,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T12:57:40.722394Z","fixed","63fd977e-681a-4061-b7b3-3e46f851ed39","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":47,""text"":""Service"",""start"":40,""labels"":[""SERVICE-NEUTRAL""]}]","",10.577,"GPT-3",0,"Das Ambiente war enttäuschend, aber der Service war in Ordnung.","2024-01-20T12:57:40.722411Z"
6,100.0,29559295,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:31:50.944086Z","fixed","65548a13-01e0-484b-86ec-4374ab5be737","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]},{""end"":44,""text"":""Essen"",""start"":39,""labels"":[""FOOD-POSITIVE""]}]","",11.751,"GPT-3",0,"Der Service war enttäuschend, aber das Essen war ausgezeichnet.","2024-01-20T13:31:50.944101Z"
7,100.0,29559171,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:21:29.406950Z","fixed","2b6134f8-4eb2-43f0-81fe-95be5dbd4f62","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",4.521,"GPT-3",0,"Der Service war ausgezeichnet.","2024-01-20T13:21:29.406969Z"
8,100.0,29559297,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:31:56.610844Z","fixed","18265106-4d15-456d-9760-7be20ab95b1a","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",4.892,"GPT-3",0,"Das Ambiente war enttäuschend und nicht einladend.","2024-01-20T13:31:56.610859Z"
9,100.0,29559299,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:32:02.443813Z","fixed","b6067a8e-35b8-4273-93db-d8f1b51e25a6","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",4.943,"GPT-3",0,"Das Essen war leider nicht genießbar.","2024-01-20T13:32:02.443834Z"
10,100.0,29559306,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:32:35.188047Z","fixed","cc06e553-1f5c-453b-87ae-fd15ea8278bb","[{""end"":12,""text"":""Personal"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",31.914,"GPT-3",0,"Das Personal war unfreundlich und langsam.","2024-01-20T13:32:35.188067Z"
11,100.0,29559309,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:32:45.302246Z","fixed","c8be7857-dd32-4bd2-8bb3-5b8f1a26246d","[{""end"":19,""text"":""Servicepersonal"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",9.342,"GPT-3",0,"Das Servicepersonal war sehr unfreundlich und unprofessionell.","2024-01-20T13:32:45.302261Z"
12,100.0,29559310,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:32:50.747718Z","fixed","937f67d5-7884-4d98-aa56-b047045e3120","[{""end"":26,""text"":""Restaurant"",""start"":16,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",4.687,"GPT-3",0,"Ich war von dem Restaurant sehr enttäuscht.","2024-01-20T13:32:50.747738Z"
13,100.0,29559029,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:11:28.211152Z","fixed","e2377a06-80bc-4ea4-80ec-8c86a6530cb0","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",7.05,"GPT-3",0,"Das Ambiente ist sehr angenehm.","2024-01-20T13:11:28.211169Z"
14,100.0,29559311,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:32:56.668802Z","fixed","bfa4275d-4d2d-4e78-9eec-a6721da30978","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]}]","",5.061,"GPT-3",0,"Der Service war okay.","2024-01-20T13:32:56.668831Z"
15,100.0,29559314,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:33:14.267537Z","fixed","40def7ad-03fa-4606-b50f-9b413d275830","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","[{""end"":59,""text"":""insgesamt war es nichts Besonderes"",""start"":25,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",16.714,"GPT-3",0,"Das Essen war okay, aber insgesamt war es nichts Besonderes.","2024-01-20T13:33:14.267557Z"
