"Unnamed: 0","agreement","annotation_id","annotator","aspect_available_without_judgement","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","two_or_more_sentences","updated_at"
0,100.0,36518568,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:32:18.768413Z","fixed","b780bd65-3189-4f28-ae6b-d86c64c4f761","[{""end"":8,""text"":""Menü"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",15.874,"Llama3_70B",0,"Das Menü ist sehr gut, aber auch nicht mehr.","","2024-05-10T07:32:18.768429Z"
1,100.0,36518596,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:32:28.077733Z","fixed","56c6c238-1a47-48fd-b341-e514a0b7a665","[{""end"":29,""text"":""Preis-Leistungsverhältnis"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",8.41,"Llama3_70B",0,"Das Preis-Leistungsverhältnis ist sehr gut.","","2024-05-10T07:32:28.077753Z"
2,100.0,36518671,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:32:57.907000Z","fixed","1cf770bd-6089-4352-868e-81fa0c1f3ebf","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",28.916,"Llama3_70B",0,"Das Essen war gut, aber nichts besonderes.","","2024-05-10T07:32:57.907021Z"
3,100.0,36518775,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:33:29.059102Z","fixed","d61c2ab1-f0af-44b1-b7f2-591de24bf39a","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",30.191,"Llama3_70B",0,"Die Atmosphäre ist zwar etwas spartanisch, aber authentisch.","","2024-05-10T07:33:29.059120Z"
4,100.0,36519110,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:35:27.309765Z","fixed","0d0b7df2-53b5-4939-a461-992fcbd80a63","[{""end"":8,""text"":""Lage"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",117.328,"Llama3_70B",0,"Die Lage des Restaurants ist nicht optimal.","","2024-05-10T07:35:27.309784Z"
5,100.0,36519217,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:36:06.976841Z","fixed","a9c512d2-4dd8-4f3b-8037-a537fba39e4d","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":47,""text"":""Personal"",""start"":39,""labels"":[""SERVICE-NEGATIVE""]}]","",38.499,"Llama3_70B",0,"Das Ambiente war sehr schlicht und das Personal wirkte eher lustlos.","","2024-05-10T07:36:06.976861Z"
6,100.0,36519279,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:36:29.132843Z","fixed","6aed50ea-031a-4e5e-b679-3883967783c1","[{""end"":13,""text"":""Service"",""start"":6,""labels"":[""SERVICE-NEGATIVE""]},{""end"":36,""text"":""Essen"",""start"":31,""labels"":[""FOOD-POSITIVE""]}]","",20.447,"Llama3_70B",0,"Wenig Service, aber sehr gutes Essen.","","2024-05-10T07:36:29.132859Z"
7,100.0,36519296,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:36:35.455887Z","fixed","9f6e99e6-8893-40c0-a8ce-8a85e8013ef0","[{""end"":44,""text"":""Personal"",""start"":36,""labels"":[""SERVICE-POSITIVE""]}]","",5.419,"Llama3_70B",0,"Super freundliches und aufmerksames Personal","","2024-05-10T07:36:35.455910Z"
8,100.0,36519369,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:36:55.178578Z","fixed","a18c81c8-55b7-4824-8e7a-ed7fa9da241d","[{""end"":8,""text"":""Raum"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":38,""text"":""Tische"",""start"":32,""labels"":[""AMBIENCE-NEGATIVE""]}]","",18.812,"Llama3_70B",0,"Der Raum ist sehr klein und die Tische sind so eng gestellt, dass man sich kaum bewegen kann.","","2024-05-10T07:36:55.178602Z"
9,100.0,36519432,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-10T07:37:18.178944Z","fixed","751e31e0-792f-4575-9dfa-18220265b05b","[{""end"":11,""text"":""Speisen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":42,""text"":""Portionen"",""start"":33,""labels"":[""FOOD-NEGATIVE""]},{""end"":83,""text"":""Preis-\/Leistungsverhältnis"",""start"":57,""labels"":[""PRICE-NEGATIVE""]}]","",22.052,"Llama3_70B",0,"Die Speisen waren nicht gut, die Portionen klein und das Preis-/Leistungsverhältnis unangemessen.","","2024-05-10T07:37:18.178968Z"
