"Unnamed: 0","agreement","annotation_id","annotator","aspect_available_without_judgement","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","two_or_more_sentences","updated_at"
0,100.0,36690681,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:36:51.559717Z","random","7c58ddc2-e88f-4792-8200-b5df69db0685","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",4.456,"Llama3_70B",0,"Das Restaurant hat eine tolle Location.","","2024-05-12T14:36:51.559736Z"
1,100.0,36690695,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:37:25.826348Z","random","14e99323-54fd-450c-9b97-0385439c126c","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]},{""end"":36,""text"":""Bedienung"",""start"":27,""labels"":[""SERVICE-NEGATIVE""]}]","",33.373,"Llama3_70B",0,"Die Atmosphäre war ok, die Bedienung eher nicht.","","2024-05-12T14:37:25.826366Z"
2,100.0,36690760,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:39:29.205477Z","random","fd18b2ee-f488-4500-b2e7-657d10a33593","[{""end"":37,""text"":""Essen"",""start"":32,""labels"":[""PRICE-NEGATIVE""]}]","",10.346,"Llama3_70B",0,"Die Preise, die für ein solches Essen verlangt werden sind völlig unangemessen.","","2024-05-12T14:39:29.205493Z"
3,100.0,36690764,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:39:35.170108Z","random","fabc23ce-909c-4658-9736-c3b98f77dd3f","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEUTRAL""]}]","",13.22,"Llama3_70B",0,"Das Restaurant ist okay.","","2024-05-13T08:43:54.756991Z"
4,100.0,36690768,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:39:41.825143Z","random","2ad10529-0f17-48a2-a000-d6b50e4fb2ee","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",5.88,"Llama3_70B",0,"Ein Restaurant, das ich sehr gerne empfehlen kann!","","2024-05-12T14:39:41.825161Z"
5,100.0,36690782,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:40:40.794297Z","random","07801327-3aaa-4159-8700-4fcbfbbb8825","[{""end"":67,""text"":""Restaurant"",""start"":57,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":67,""text"":""Restaurant"",""start"":57,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":93,""text"":""Personal"",""start"":85,""labels"":[""SERVICE-POSITIVE""]},{""end"":109,""text"":""Essen"",""start"":104,""labels"":[""FOOD-POSITIVE""]}]","",58.123,"Llama3_70B",0,"Wir hatten einen sehr schönen Abend in einem gemütlichen Restaurant mit freundlichem Personal und gutem Essen.","","2024-05-12T14:40:40.794319Z"
6,100.0,36690816,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:41:48.903035Z","random","342eb0fc-1e7f-4c2f-9ec6-93a9ef291c0d","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]}]","",67.224,"Llama3_70B",0,"Die Atmosphäre ist eher rustikal, was aber nicht stört. ","","2024-05-12T14:41:48.903052Z"
7,100.0,36690822,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:42:01.476540Z","random","8a62ceeb-76f0-42de-b46d-ed1b724ea845","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":37,""text"":""Speisen"",""start"":30,""labels"":[""FOOD-NEGATIVE""]},{""end"":94,""text"":""Restaurant"",""start"":84,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",11.665,"Llama3_70B",0,"Der Service war gut, aber die Speisen waren so schlecht, dass wir uns nicht mehr im Restaurant aufhalten wollten.","","2024-05-12T14:42:01.476556Z"
8,100.0,36690826,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:42:07.191470Z","random","d332a010-1f2c-4eb6-acc5-c7412bc0ebb5","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",4.771,"Llama3_70B",0,"Das Ambiente ist sehr gemütlich.","","2024-05-12T14:42:07.191488Z"
9,100.0,36690837,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-05-12T14:42:22.950940Z","random","0e4aa879-fbff-4dc9-a0cf-ea75e46b4499","[{""end"":13,""text"":""Bedienung"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]},{""end"":44,""text"":""Kellner"",""start"":37,""labels"":[""SERVICE-NEGATIVE""]}]","",14.901,"Llama3_70B",0,"Die Bedienung ist sehr schlecht, die Kellner sind unhöflich und unfreundlich.","","2024-05-12T14:42:22.950966Z"
