"Unnamed: 0","agreement","annotation_id","annotator","aspect_available_without_judgement","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","two_or_more_sentences","updated_at"
0,100.0,29447115,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","2024-01-18T11:57:35.864384Z","fixed","7ab7039d-452e-4c70-a94d-15d78dfca767","","",5.32,"Llama70B",0,"Ein Häppchen zum Essen.","","2024-01-18T11:57:35.864401Z"
1,100.0,29447134,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T11:57:59.089895Z","fixed","846fa649-91ee-465a-9da1-7b4fca507a1f","[{""end"":16,""text"":""Würfelzucker"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",22.319,"Llama70B",0,"Ein Würfelzucker für 10 Cent ist auch ein gutes Preis-Leistungsverhältnis.","","2024-01-18T11:57:59.089914Z"
2,100.0,29447141,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T11:58:10.354932Z","fixed","d6401690-4b49-49da-bd4a-401132883275","[{""end"":5,""text"":""Essen"",""start"":0,""labels"":[""FOOD-NEUTRAL""]}]","",10.417,"Llama70B",0,"Essen war ok.","","2024-01-18T11:58:10.354947Z"
3,100.0,29447152,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T11:58:16.412424Z","fixed","1d01c4d8-4663-4797-ad55-f9f08781e60f","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",5.27,"Llama70B",0,"Die Atmosphäre war sehr schön.","","2024-01-18T11:58:16.412452Z"
4,100.0,29447159,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T11:58:24.422948Z","fixed","f513aed5-59f7-4a4a-b98a-f22c5fe51767","[{""end"":46,""text"":""Ambiente"",""start"":38,""labels"":[""AMBIENCE-POSITIVE""]}]","",7.198,"Llama70B",0,"Unter den gegebenen Umständen ist das Ambiente durchaus schön.","","2024-01-18T11:58:24.422965Z"
5,100.0,29447232,"nils-constantin.hellwig@stud.uni-regensburg.de","An aspect is addressed in the text without an explicit mention by the author","2024-01-18T11:59:40.432045Z","fixed","4c7a34fd-c8a7-4a1c-8d9c-395112cdcd96","[{""end"":14,""text"":""Drecklokal"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",75.068,"Llama70B",0,"Ein Drecklokal und ein Service, der sich nicht von den Tischen unterscheidet.","","2024-01-18T11:59:40.432062Z"
6,100.0,29447246,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T11:59:52.200899Z","fixed","419de96b-4f13-4c89-a5ef-9d516e140582","[{""end"":25,""text"":""Service"",""start"":18,""labels"":[""SERVICE-NEGATIVE""]},{""end"":57,""text"":""Essen"",""start"":52,""labels"":[""FOOD-POSITIVE""]}]","",10.98,"Llama70B",0,"Wir waren mit dem Service nicht zufrieden, aber das Essen war lecker.","","2024-01-18T11:59:52.200925Z"
7,100.0,29447252,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T11:59:58.289559Z","fixed","979822e7-c14c-48da-a140-5b8dd041987d","[{""end"":43,""text"":""Personal"",""start"":35,""labels"":[""SERVICE-POSITIVE""]}]","",4.952,"Llama70B",0,"Sehr freundliches und aufmerksames Personal!","","2024-01-18T11:59:58.289584Z"
8,100.0,29447279,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T12:00:17.998661Z","fixed","763ece61-c878-4388-a953-fcf1c878499d","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",18.834,"Llama70B",0,"Das Ambiente ist nicht unbedingt ansprechend.","","2024-01-18T12:00:17.998678Z"
9,100.0,29447374,"nils-constantin.hellwig@stud.uni-regensburg.de","","2024-01-18T12:01:52.352552Z","fixed","da7b8cc7-589c-407f-9f81-adbc95cca3de","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",93.321,"Llama70B",0,"Das Essen war eher schlecht.","","2024-01-18T12:01:52.352573Z"
