agreement,annotation_id,annotator,aspect_available_without_judgement,created_at,few_shot_condtion,id,label-explicit,label-implicit,lead_time,model,split,text,two_or_more_sentences,updated_at
100.0,29386319,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:39:00.806330Z,random,a49a6f01-1ecc-4da0-b76b-f283f518fc60,,"[{""end"":25,""text"":""waren sehr zufrieden."",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",14.011,Llama70B,0,Wir waren sehr zufrieden.,,2024-01-17T12:39:00.806355Z
100.0,29386342,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:39:20.055071Z,random,d6c3769c-e06a-4b05-8ccf-e1338af83856,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":35,""text"":""Service"",""start"":28,""labels"":[""SERVICE-NEGATIVE""]}]",,18.298,Llama70B,0,"Das Essen war gut, aber der Service leider nicht.",,2024-01-17T12:39:20.055089Z
100.0,29386363,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:39:39.528689Z,random,3772b851-5f3f-49a4-b456-dd1e8878abf4,,"[{""end"":37,""text"":""was man bekommt"",""start"":22,""labels"":[""PRICE-NEGATIVE-no-phrase""]}]",18.566,Llama70B,0,Viel zu teuer für das was man bekommt.,,2024-01-17T12:39:39.528712Z
100.0,29386372,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:39:50.874016Z,random,011243dc-960f-4c73-8d8c-3c6238011f63,,,10.431,Llama70B,0,Wir waren schon öfters hier.,,2024-01-17T12:39:50.874034Z
100.0,29386385,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:40:02.602344Z,random,63a89c9b-458a-466b-89c3-462b9f1b1833,"[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]",,10.857,Llama70B,0,Das Restaurant ist sehr empfehlenswert.,,2024-01-17T12:40:02.602362Z
100.0,29386397,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:40:10.951152Z,random,3f4e12a0-05ef-44ca-9ef5-5ebe9a884384,,"[{""end"":16,""text"":""kommen gerne"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",7.58,Llama70B,0,Wir kommen gerne wieder.,,2024-01-17T12:40:10.951166Z
100.0,29386415,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:40:26.488439Z,random,47274208-f4bd-4407-9eb5-f4d21c14807c,"[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":47,""text"":""Service"",""start"":40,""labels"":[""SERVICE-POSITIVE""]}]",,14.75,Llama70B,0,Das Ambiente war sehr gemütlich und der Service hervorragend.,,2024-01-17T12:40:26.488455Z
100.0,29386458,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:41:15.043501Z,random,9ee7c693-3403-4fd5-b0e1-85c196c156c8,"[{""end"":25,""text"":""Personal"",""start"":17,""labels"":[""SERVICE-POSITIVE""]}]","[{""end"":61,""text"":""normalen Kuchenküche"",""start"":41,""labels"":[""FOOD-NEUTRAL-no-phrase""]}]",47.651,Llama70B,0,Mit freundlichem Personal und einer ganz normalen Kuchenküche.,,2024-01-17T12:41:15.043521Z
100.0,29386465,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:41:21.727934Z,random,69c3503a-9820-444f-b2a1-b4c9184bb9a0,"[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]",,5.84,Llama70B,0,Die Atmosphäre ist gemütlich.,,2024-01-17T12:41:21.727950Z
100.0,29386529,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:42:30.650040Z,random,dc4808a8-e91c-41eb-b1a8-2f02b83bc025,"[{""end"":21,""text"":""Service"",""start"":14,""labels"":[""SERVICE-NEGATIVE""]}]",,67.994,Llama70B,0,"Dabei war der Service so ziemlich nicht vorhanden, es dauerte ewig bis man jemanden sah und dann wieder ewig bis einer kam.",,2024-01-17T12:42:30.650071Z
100.0,29386545,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:42:47.962503Z,random,bc429f65-29ef-40a5-8933-ba9b072234bb,"[{""end"":18,""text"":""Service"",""start"":11,""labels"":[""SERVICE-CONFLICT""]}]",,16.445,Llama70B,0,"Zurück zum Service: sehr freundlich, aber unerfahren.",,2024-01-17T12:42:47.962520Z
100.0,29386553,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:42:55.272174Z,random,a1668f68-5761-4eab-ab1c-67213cfcc4ad,"[{""end"":8,""text"":""Gerichte"",""start"":0,""labels"":[""FOOD-NEUTRAL""]}]",,6.42,Llama70B,0,Gerichte eher durchschnittlich.,,2024-01-17T12:42:55.272200Z
100.0,29386603,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:43:41.376340Z,random,801f9523-72cf-48b1-aaae-45843fa4898c,"[{""end"":18,""text"":""Preis"",""start"":13,""labels"":[""PRICE-NEGATIVE""]}]",,45.216,Llama70B,0,Hier ist der Preis für die Qualität einfach zu hoch.,,2024-01-17T12:43:41.376359Z
100.0,29386620,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:43:50.285520Z,random,06df319f-2a0b-4ac7-825c-cf5bb063b5ac,"[{""end"":9,""text"":""Pizza"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]",,7.976,Llama70B,0,Die Pizza war sehr gut.,,2024-01-17T12:43:50.285538Z
100.0,29386628,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:44:00.092602Z,random,d207fb53-3e84-4e13-afd3-f80ae5436ad7,"[{""end"":12,""text"":""Kalamari"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]",,8.935,Llama70B,0,Die Kalamari waren aber leider zu fettig.,,2024-01-17T12:44:00.092618Z
100.0,29386652,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:44:21.028591Z,random,2e654381-cc86-40cb-91a7-86d5c215aebf,"[{""end"":16,""text"":""Tapas"",""start"":11,""labels"":[""FOOD-NEUTRAL""]}]",,27.783,Llama70B,0,"Wir hatten Tapas, die waren allesamt gut, aber nichts Besonderes.",,2024-01-17T13:41:37.116312Z
100.0,29386715,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:45:20.356885Z,random,83069a96-8878-445a-bcb3-94c4257aab5e,"[{""end"":15,""text"":""Preisniveau"",""start"":4,""labels"":[""PRICE-NEUTRAL""]}]",,58.51,Llama70B,0,"Das Preisniveau ist okay, aber es gibt auch bessere Pizzerien in Karlsruhe.",,2024-01-17T12:45:20.356900Z
100.0,29386721,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:45:30.764796Z,random,74feda28-4d9d-47e8-8c7a-c06b44952160,,"[{""end"":26,""text"":""waren sehr enttäuscht."",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",9.301,Llama70B,0,Wir waren sehr enttäuscht.,,2024-01-17T12:45:30.764813Z
100.0,29386756,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:45:58.000559Z,random,f436c400-c8b4-4d50-8648-073dba13775c,"[{""end"":62,""text"":""ausgeglichener Abend mit guten und weniger guten Momenten.\\n"",""start"":4,""labels"":[""GENERAL-IMPRESSION-CONFLICT""]}]",,26.464,Llama70B,0,Ein ausgeglichener Abend mit guten und weniger guten Momenten.,,2024-01-17T12:45:58.000577Z
100.0,29386803,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:46:44.465421Z,random,9fb67685-1b8f-4c2d-ac69-d2ea88a4ed02,"[{""end"":22,""text"":""Atmosphäre"",""start"":12,""labels"":[""AMBIENCE-POSITIVE""]}]",,45.566,Llama70B,0,Eine schöne Atmosphäre hat es auch.,,2024-01-17T12:46:44.465437Z
100.0,29386828,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:47:04.558847Z,random,3a500ea0-4aa5-4dbb-88fb-23e206c6a59e,"[{""end"":75,""text"":""Lokal"",""start"":70,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]",,19.142,Llama70B,0,"Wenn man sich aber auf die Kölsche Art einlässt, ist dies ein schönes Lokal.",,2024-01-17T12:47:04.558873Z
100.0,29386871,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:47:39.488428Z,random,193d52e9-b0db-47dc-8af6-5c5784671ded,"[{""end"":20,""text"":""Ambiente"",""start"":12,""labels"":[""AMBIENCE-POSITIVE""]}]",,33.909,Llama70B,0,"Ein schönes Ambiente, das man so bald nicht wieder findet.",,2024-01-17T12:47:39.488445Z
100.0,29386892,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:47:53.401853Z,random,df98a93a-1111-4541-b284-b92e64ac0cc8,"[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":44,""text"":""Speisen"",""start"":37,""labels"":[""FOOD-NEGATIVE""]}]",,13.135,Llama70B,0,Die Atmosphäre war sehr laut und die Speisen nicht zu empfehlen.,,2024-01-17T12:47:53.401877Z
