trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores
0	3e-05	16	16	1666.6099836826324	0.11437150090932846	0.036373333333333334	0.6652	0.7783389731585344	0.6185594386794793	0.7689005270129509	[0.3963812552047846, 0.8513946314350722, 0.7660459148694443, 0.7964749340101993, 0.5239962783770491, 0.5210035842293906, 0.6682721295993607, 0.44471095659806154, 0.8959836568297771, 0.6012539184952977, 0.5663848631239936, 0.4806637806637807, 0.9265428826777354, 0.8392827940782428, 0.0]
1	2e-05	2	32	176.53744459152222	0.24349837899208068	0.08250666666666666	0.0084	0.01457101596582418	0.006374967708602429	0.013055136691872318	[0.0, 0.09056122448979592, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005063291139240506, 0.0, 0.0]
2	5e-05	19	8	2995.3553664684296	0.23550506234169005	0.07496	0.13040000000000002	0.15059571088165213	0.11708184268003963	0.1487251887511089	[0.05555555555555556, 0.16242424242424244, 0.15, 0.1571428571428571, 0.09302325581395349, 0.11999999999999997, 0.11200000000000002, 0.06, 0.17402597402597403, 0.08, 0.1411764705882353, 0.1, 0.18360655737704917, 0.16727272727272727, 0.0]
3	5e-05	6	16	640.6897683143616	0.10794472992420197	0.03608	0.6428	0.7694097621672953	0.5406988678842246	0.7387079761141067	[0.25260831122900085, 0.859844142175489, 0.7591674375578169, 0.8050464533485112, 0.3391848991848992, 0.19267080745341617, 0.46222222222222226, 0.4570003742344168, 0.8865622615457287, 0.5069482946720798, 0.5473359973359974, 0.28072378962034134, 0.9169504040151726, 0.8442176236682754, 0.0]
4	5e-05	8	8	1260.5575087070465	0.19359657168388367	0.06197333333333334	0.288	0.35523413847266605	0.2610042005389246	0.3337044043966724	[0.17880184331797233, 0.33824243405081733, 0.2874009766684753, 0.3287116176005065, 0.1904610492845787, 0.20522875816993466, 0.2596491228070175, 0.2308045977011494, 0.35529738165423963, 0.24369747899159666, 0.2590476190476191, 0.1503225806451613, 0.5385035389282102, 0.34889400921658986, 0.0]
5	3e-05	13	32	1033.3191487789154	0.1075841411948204	0.034453333333333336	0.6744	0.7841399764322184	0.6163187247795241	0.7691689293824928	[0.37371212121212116, 0.8528020209445216, 0.768993606021643, 0.7987075982180021, 0.4778953538751688, 0.510493927125506, 0.6006535947712418, 0.5087631975867271, 0.8792537981521313, 0.5928370742858237, 0.6244112229599486, 0.47531282060593955, 0.9383414438114441, 0.8426030921226424, 0.0]
6	4e-05	13	32	1047.480619430542	0.10747921615839004	0.03509333333333333	0.6736	0.783335161875448	0.6252242369031074	0.7713467844839598	[0.391969111969112, 0.8565190718907705, 0.7650805505174437, 0.7950651503044974, 0.5148045950421012, 0.5186065162907267, 0.6202551834130781, 0.524254488234032, 0.880944968477484, 0.6149969531363351, 0.6099450386215092, 0.5158637061862869, 0.9352630284199813, 0.83479519104325, 0.0]
7	2e-05	15	8	2383.1181252002716	0.10587210655212402	0.03309333333333333	0.6960000000000001	0.7976415924325049	0.6454587053829518	0.787898653354328	[0.3724126895603975, 0.8731737951607375, 0.7738988195742003, 0.8201989583351559, 0.5442190287629463, 0.6091097014440667, 0.6811688311688312, 0.49676568153457373, 0.8882783882783883, 0.6214261294261294, 0.6534117647058824, 0.5515151515151515, 0.9400612264504009, 0.8562404148274163, 0.0]
8	2e-05	16	32	1283.884719133377	0.10559605956077575	0.03416	0.6728000000000001	0.784343653818865	0.61077535605447	0.768463979761569	[0.3892466798349151, 0.8596718144393094, 0.759154334038055, 0.8022352809901868, 0.4832086196059732, 0.5041135335252982, 0.6116693248272196, 0.49313732706367447, 0.8852044763707966, 0.5893734671125975, 0.5764005270092227, 0.4292403021814787, 0.9316561082097665, 0.847318545608555, 0.0]
9	3e-05	6	8	948.7303175926208	0.13549115061759948	0.04466666666666667	0.5347999999999999	0.6253184203944465	0.4775544000307904	0.6113358064558068	[0.28693561596787404, 0.6873015598983405, 0.5885125309280541, 0.6524217345992815, 0.4340909090909091, 0.321, 0.41924242424242425, 0.3602495543672014, 0.7165055638352475, 0.44385185185185183, 0.4372222222222223, 0.3915966386554621, 0.7339973974354903, 0.6903879973674965, 0.0]
10	2e-05	20	8	3097.5565659999847	0.12965869158506393	0.03850666666666667	0.6336	0.7457339740003761	0.5690090115612604	0.7210116682544998	[0.3155542986425339, 0.8325289406805718, 0.7293563009132832, 0.7115195989497469, 0.3973360378634212, 0.4722222222222222, 0.536056049213944, 0.4085322224944866, 0.8400957993120921, 0.4786203860906747, 0.5405, 0.3926917293233082, 0.9163156822060754, 0.8304725721732111, 0.13333333333333333]
11	2e-05	16	32	1247.8380584716797	0.1058909147977829	0.03448	0.6708	0.7824329985274007	0.6062476264073522	0.7659687303384279	[0.37239453357100416, 0.8554833327639166, 0.7684566596194504, 0.7996114382452435, 0.46941551615769733, 0.5152246446364093, 0.6186868686868687, 0.4618151191047527, 0.888021377779247, 0.585025641025641, 0.5764005270092227, 0.40350930802943186, 0.9339945435839162, 0.8456748858974796, 0.0]
12	2e-05	16	32	1242.5592408180237	0.10558638125658035	0.03421333333333333	0.6712	0.7841996714526603	0.611329125716233	0.7681081033393322	[0.38629827688651214, 0.8596718144393094, 0.7638054968287527, 0.7999921928316056, 0.4580854668966136, 0.5217605923488275, 0.6253535353535353, 0.4828677506837001, 0.8852044763707966, 0.5893734671125975, 0.5583403263403264, 0.4603514132925898, 0.9341182294218878, 0.8447138469364408, 0.0]
